0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
tt24142447,A Good Turn Never Goes Unpunished,A Good Turn Never Goes Unpunished,1972,26,"Comedy,Family,Fantasy",4.2,205,8,producer,producer,8,24,William Asher,1921,2012,"director,producer,writer"
tt39032505,George Washington Zapped Here Part 1,George Washington Zapped Here Part 1,1972,26,"Comedy,Family,Fantasy",5.2,211,8,producer,producer,8,21,William Asher,1921,2012,"director,producer,writer"
tt41551099,George Washington Zapped Here Part 2,George Washington Zapped Here Part 2,1972,26,"Comedy,Family,Fantasy",5.2,206,8,producer,producer,8,22,William Asher,1921,2012,"director,producer,writer"
tt45647906,Sams Witchcraft Blows a Fuse,Sams Witchcraft Blows a Fuse,1972,26,"Comedy,Family,Fantasy",4.4,216,8,producer,producer,8,25,William Asher,1921,2012,"director,producer,writer"
tt36667972,Samantha Is Earthbound,Samantha Is Earthbound,1972,26,"Comedy,Family,Fantasy",6.6,211,8,producer,producer,8,16,William Asher,1921,2012,"director,producer,writer"
tt79657834,Samanthas Magic Sitter,Samanthas Magic Sitter,1972,26,"Comedy,Family,Fantasy",4.8,203,9,producer,producer,8,15,William Asher,1921,2012,"director,producer,writer"
tt50794920,School Days School Daze,School Days School Daze,1972,26,"Comedy,Family,Fantasy",7.9,249,8,producer,producer,8,23,William Asher,1921,2012,"director,producer,writer"
tt36389134,Serenas Youth Pill,Serenas Youth Pill,1972,26,"Comedy,Family,Fantasy",7.9,245,8,producer,producer,8,19,William Asher,1921,2012,"director,producer,writer"
tt83280390,Tabithas First Day at School,Tabithas First Day at School,1972,26,"Comedy,Family,Fantasy",5.1,216,8,producer,producer,8,20,William Asher,1921,2012,"director,producer,writer"
tt71386436,Pauls Desperate Hour,Pauls Desperate Hour,1972,30,Comedy,6.5,33,10,producer,producer,1,14,William Asher,1921,2012,"director,producer,writer"
tt22933324,No More Mister Nice Guy,No More Mister Nice Guy,1972,30,Comedy,8.8,24,10,producer,producer,1,15,William Asher,1921,2012,"director,producer,writer"
tt85964754,To Wed or Not to Wed,To Wed or Not to Wed,1972,30,Comedy,9.3,20,10,producer,producer,1,8,William Asher,1921,2012,"director,producer,writer"
tt97344908,Vigil of the Stork,Vigil of the Stork,1972,30,"Adventure,Drama,Family",8.3,19,9,producer,producer,19,12,Bonita Granville,1923,1988,"producer,actress,soundtrack"
tt91898620,Lightning,Lightning,1972,30,"Adventure,Drama,Family",8.3,19,9,producer,producer,19,1,Bonita Granville,1923,1988,"producer,actress,soundtrack"
tt50103276,Golden Eagle,Golden Eagle,1972,30,"Adventure,Drama,Family",8.0,17,8,producer,producer,19,8,Bonita Granville,1923,1988,"producer,actress,soundtrack"
tt72692735,Run to Nowhere Part 1,Run to Nowhere Part 1,1972,30,"Adventure,Drama,Family",7.5,19,9,producer,producer,19,10,Bonita Granville,1923,1988,"producer,actress,soundtrack"
tt51001042,Run to Nowhere Part 2,Run to Nowhere Part 2,1972,30,"Adventure,Drama,Family",6.7,17,9,producer,producer,19,11,Bonita Granville,1923,1988,"producer,actress,soundtrack"
tt20262284,Blueprint for Murder,Blueprint for Murder,1972,75,"Crime,Drama,Mystery",7.6,2663,10,cinematographer,director of photography,1,7,Lloyd Ahern Sr.,1905,1983,"cinematographer,camera_department"
tt58954756,A Place to Hide,A Place to Hide,1972,60,Western,7.5,77,6,writer,created by,13,24,David Dortort,1916,2010,"producer,writer,miscellaneous"
tt81456831,A Visit to Upright,A Visit to Upright,1972,60,Western,6.1,75,6,writer,created by,13,25,David Dortort,1916,2010,"producer,writer,miscellaneous"
tt74695857,Ambush at Rio Lobo,Ambush at Rio Lobo,1972,60,Western,6.7,77,6,writer,created by,14,6,David Dortort,1916,2010,"producer,writer,miscellaneous"
tt79231102,First Love,First Love,1972,60,Western,7.6,84,6,writer,created by,14,12,David Dortort,1916,2010,"producer,writer,miscellaneous"
tt99171901,Forever,Forever,1972,100,Western,8.1,186,5,writer,created by,14,1,David Dortort,1916,2010,"producer,writer,miscellaneous"
tt91761915,Frenzy,Frenzy,1972,60,Western,5.8,67,6,writer,created by,13,18,David Dortort,1916,2010,"producer,writer,miscellaneous"
tt85323875,He Was Only Seven,He Was Only Seven,1972,60,Western,7.6,88,5,writer,created by,13,22,David Dortort,1916,2010,"producer,writer,miscellaneous"
tt17761174,Heritage of Anger,Heritage of Anger,1972,60,Western,7.1,79,6,writer,created by,14,2,David Dortort,1916,2010,"producer,writer,miscellaneous"
tt14622085,New Man,New Man,1972,60,Western,7.4,87,6,writer,created by,14,5,David Dortort,1916,2010,"producer,writer,miscellaneous"
tt22208423,One Ace Too Many,One Ace Too Many,1972,60,Western,6.9,90,6,writer,created by,13,26,David Dortort,1916,2010,"producer,writer,miscellaneous"
tt68748842,Riot,Riot,1972,60,Western,8.0,90,6,writer,created by,14,4,David Dortort,1916,2010,"producer,writer,miscellaneous"
tt10717327,Search in Limbo,Search in Limbo,1972,60,Western,6.3,66,6,writer,created by,13,21,David Dortort,1916,2010,"producer,writer,miscellaneous"
tt36504691,Second Sight,Second Sight,1972,60,Western,6.9,77,6,writer,created by,13,16,David Dortort,1916,2010,"producer,writer,miscellaneous"
tt83307054,Shanklin,Shanklin,1972,60,Western,7.4,85,6,writer,created by,13,20,David Dortort,1916,2010,"producer,writer,miscellaneous"
tt16433641,Stallion,Stallion,1972,60,Western,7.4,99,6,writer,created by,14,8,David Dortort,1916,2010,"producer,writer,miscellaneous"
tt80830246,The Bucket Dog,The Bucket Dog,1972,60,Western,7.5,85,6,writer,created by,14,11,David Dortort,1916,2010,"producer,writer,miscellaneous"
tt63264612,The Customs of the Country,The Customs of the Country,1972,60,Western,7.1,78,6,writer,created by,13,19,David Dortort,1916,2010,"producer,writer,miscellaneous"
tt82013425,The Hidden Enemy,The Hidden Enemy,1972,60,Western,7.2,91,6,writer,created by,14,9,David Dortort,1916,2010,"producer,writer,miscellaneous"
tt29909891,The Initiation,The Initiation,1972,60,Western,6.8,88,6,writer,created by,14,3,David Dortort,1916,2010,"producer,writer,miscellaneous"
tt28827032,The Lonely Man,The Lonely Man,1972,60,Western,7.8,107,6,writer,created by,13,15,David Dortort,1916,2010,"producer,writer,miscellaneous"
tt93087435,The Saddle Stiff,The Saddle Stiff,1972,60,Western,8.0,83,6,writer,created by,13,17,David Dortort,1916,2010,"producer,writer,miscellaneous"
tt46814830,The Sound of Sadness,The Sound of Sadness,1972,60,Western,8.1,106,5,writer,created by,14,10,David Dortort,1916,2010,"producer,writer,miscellaneous"
tt96454339,The TwentySixth Grave,The TwentySixth Grave,1972,60,Western,7.1,77,7,writer,created by,14,7,David Dortort,1916,2010,"producer,writer,miscellaneous"
tt97874419,The Younger Brothers Younger Brother,The Younger Brothers Younger Brother,1972,60,Western,7.2,81,5,writer,created by,13,23,David Dortort,1916,2010,"producer,writer,miscellaneous"
tt22722456,Lindemanns CatchA Feast of BloodThe Late Mr Peddington,Lindemanns CatchA Feast of BloodThe Late Mr Peddington,1972,30,"Drama,Fantasy,Horror",7.3,287,9,writer,teleplay,2,16,Rod Serling,1924,1975,"writer,actor,producer"
tt72292432,The Sins of the FathersYou Cant Get Help Like That Anymore,The Sins of the FathersYou Cant Get Help Like That Anymore,1972,30,"Drama,Fantasy,Horror",7.9,358,9,writer,teleplay,2,21,Rod Serling,1924,1975,"writer,actor,producer"
tt30801368,Day of the Daleks Episode One,Day of the Daleks Episode One,1972,24,"Adventure,Drama,Family",7.6,502,8,writer,creator,9,1,Sydney Newman,1917,1997,"writer,producer,director"
tt70282396,The Curse of Peladon Episode One,The Curse of Peladon Episode One,1972,25,"Adventure,Drama,Family",7.5,472,7,writer,creator,9,5,Sydney Newman,1917,1997,"writer,producer,director"
tt37064793,The Mutants Episode One,The Mutants Episode One,1972,24,"Adventure,Drama,Family",6.6,409,8,writer,creator,9,15,Sydney Newman,1917,1997,"writer,producer,director"
tt42296652,The Sea Devils Episode One,The Sea Devils Episode One,1972,25,"Adventure,Drama,Family",7.8,550,7,writer,creator,9,9,Sydney Newman,1917,1997,"writer,producer,director"
tt12433132,The Three Doctors Episode One,The Three Doctors Episode One,1972,25,"Adventure,Drama,Family",8.2,731,8,writer,creator,10,1,Sydney Newman,1917,1997,"writer,producer,director"
tt96681024,The Time Monster Episode One,The Time Monster Episode One,1972,25,"Adventure,Drama,Family",6.7,412,7,writer,creator,9,21,Sydney Newman,1917,1997,"writer,producer,director"
tt60129195,The Curse of Peladon Episode Two,The Curse of Peladon Episode Two,1972,25,"Adventure,Drama,Family",7.4,432,7,writer,creator,9,6,Sydney Newman,1917,1997,"writer,producer,director"
tt16017482,The Curse of Peladon Episode Three,The Curse of Peladon Episode Three,1972,24,"Adventure,Drama,Family",7.5,433,7,writer,creator,9,7,Sydney Newman,1917,1997,"writer,producer,director"
tt16968812,The Curse of Peladon Episode Four,The Curse of Peladon Episode Four,1972,24,"Adventure,Drama,Family",7.6,434,7,writer,creator,9,8,Sydney Newman,1917,1997,"writer,producer,director"
tt31801696,The Mutants Episode Two,The Mutants Episode Two,1972,24,"Adventure,Drama,Family",6.6,368,8,writer,creator,9,16,Sydney Newman,1917,1997,"writer,producer,director"
