0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
tt55403205,Ace in the Hole,Ace in the Hole,1967,30,"Action,Adventure,Crime",7.7,80,6,writer,creator,1,20,George W. Trendle,1884,1972,"writer,producer"
tt13770472,Alias the Scarf,Alias the Scarf,1967,30,"Action,Adventure,Crime",7.2,96,7,writer,creator,1,22,George W. Trendle,1884,1972,"writer,producer"
tt49857676,Bad Bet on a 459Silent,Bad Bet on a 459Silent,1967,30,"Action,Adventure,Crime",7.2,77,8,writer,creator,1,19,George W. Trendle,1884,1972,"writer,producer"
tt18887004,Corpse of the Year Part 1,Corpse of the Year Part 1,1967,30,"Action,Adventure,Crime",7.4,85,7,writer,creator,1,17,George W. Trendle,1884,1972,"writer,producer"
tt55492046,Corpse of the Year Part 2,Corpse of the Year Part 2,1967,30,"Action,Adventure,Crime",7.3,81,7,writer,creator,1,18,George W. Trendle,1884,1972,"writer,producer"
tt25591252,Hornet Save Thyself,Hornet Save Thyself,1967,30,"Action,Adventure,Crime",7.7,78,7,writer,creator,1,23,George W. Trendle,1884,1972,"writer,producer"
tt53171348,Invasion from Outer Space Part 1,Invasion from Outer Space Part 1,1967,30,"Action,Adventure,Crime",6.9,88,6,writer,creator,1,24,George W. Trendle,1884,1972,"writer,producer"
tt84394775,Invasion from Outer Space Part 2,Invasion from Outer Space Part 2,1967,30,"Action,Adventure,Crime",6.7,82,6,writer,creator,1,25,George W. Trendle,1884,1972,"writer,producer"
tt37770201,Seek Stalk and Destroy,Seek Stalk and Destroy,1967,30,"Action,Adventure,Crime",7.4,74,7,writer,creator,1,16,George W. Trendle,1884,1972,"writer,producer"
tt14195326,The Hornet and the Firefly,The Hornet and the Firefly,1967,30,"Action,Adventure,Crime",7.1,73,7,writer,creator,1,26,George W. Trendle,1884,1972,"writer,producer"
tt78504750,Trouble for Prince Charming,Trouble for Prince Charming,1967,30,"Action,Adventure,Crime",7.4,76,7,writer,creator,1,21,George W. Trendle,1884,1972,"writer,producer"
tt27983304,Message from Beyond,Message from Beyond,1967,60,"Crime,Drama,Mystery",7.5,107,10,cinematographer,director of photography,1,1,Benjamin H. Kline,1894,1974,"cinematographer,director,camera_department"
tt71380436,The Leaf in the Forest,The Leaf in the Forest,1967,60,"Crime,Drama,Mystery",7.8,95,10,cinematographer,director of photography,1,2,Benjamin H. Kline,1894,1974,"cinematographer,director,camera_department"
tt55522436,Days in the Trees,Days in the Trees,1967,85,Drama,7.2,11,10,producer,producer,1,84,Lionel Harris,1922,1984,"director,producer,actor"
tt75487226,Message for Posterity,Message for Posterity,1967,79,Drama,9.2,14,7,producer,producer,1,93,Lionel Harris,1922,1984,"director,producer,actor"
tt15849290,Allergic to Macedonian Dodo Birds,Allergic to Macedonian Dodo Birds,1967,30,"Comedy,Family,Fantasy",8.9,289,8,producer,producer,4,11,William Asher,1921,2012,"director,producer,writer"
tt73727322,My What Big Ears You Have,My What Big Ears You Have,1967,30,"Comedy,Family,Fantasy",9.0,294,8,producer,producer,4,14,William Asher,1921,2012,"director,producer,writer"
tt40722859,No Zip in My Zap,No Zip in My Zap,1967,30,"Comedy,Family,Fantasy",8.5,274,8,producer,producer,4,6,William Asher,1921,2012,"director,producer,writer"
tt31035688,Out of Sync Out of Mind,Out of Sync Out of Mind,1967,30,"Comedy,Family,Fantasy",7.3,302,8,producer,producer,4,9,William Asher,1921,2012,"director,producer,writer"
tt50609036,Samanthas Da Vinci Dilemma,Samanthas Da Vinci Dilemma,1967,30,"Comedy,Family,Fantasy",8.7,266,9,producer,producer,4,17,William Asher,1921,2012,"director,producer,writer"
tt55627048,Samanthas Thanksgiving to Remember,Samanthas Thanksgiving to Remember,1967,30,"Comedy,Family,Fantasy",8.7,290,9,producer,producer,4,12,William Asher,1921,2012,"director,producer,writer"
tt52442137,Solid Gold Motherinlaw,Solid Gold Motherinlaw,1967,30,"Comedy,Family,Fantasy",8.8,268,8,producer,producer,4,13,William Asher,1921,2012,"director,producer,writer"
tt92848743,Just Pay the Two Dollars,Just Pay the Two Dollars,1967,30,"Comedy,Fantasy",7.3,6,10,cinematographer,director of photography,1,8,Lloyd Ahern Sr.,1905,1983,"cinematographer,camera_department"
tt58303989,On Bended Knee,On Bended Knee,1967,30,"Comedy,Fantasy",7.2,5,10,cinematographer,director of photography,1,7,Lloyd Ahern Sr.,1905,1983,"cinematographer,camera_department"
tt66248087,A Bride for Buford,A Bride for Buford,1967,60,Western,6.9,80,7,writer,creator,8,18,David Dortort,1916,2010,"producer,writer,miscellaneous"
tt54744205,A Woman in the House,A Woman in the House,1967,60,Western,6.7,83,8,writer,creator,8,23,David Dortort,1916,2010,"producer,writer,miscellaneous"
tt58138923,Amigo,Amigo,1967,60,Western,7.1,85,8,writer,created by,8,22,David Dortort,1916,2010,"producer,writer,miscellaneous"
tt67634299,Black Friday,Black Friday,1967,60,Western,7.5,89,8,writer,created by,8,19,David Dortort,1916,2010,"producer,writer,miscellaneous"
tt97565477,Check Rein,Check Rein,1967,60,Western,7.3,76,8,writer,creator,9,12,David Dortort,1916,2010,"producer,writer,miscellaneous"
tt38287250,Clarissa,Clarissa,1967,60,Western,6.4,77,8,writer,creator,8,32,David Dortort,1916,2010,"producer,writer,miscellaneous"
tt14525896,Dark Enough to See the Stars,Dark Enough to See the Stars,1967,60,Western,7.1,77,7,writer,creator,8,26,David Dortort,1916,2010,"producer,writer,miscellaneous"
tt96741224,Desperate Passage,Desperate Passage,1967,60,Western,7.8,93,7,writer,creator,9,8,David Dortort,1916,2010,"producer,writer,miscellaneous"
tt44476510,False Witness,False Witness,1967,60,Western,7.7,80,7,writer,creator,9,6,David Dortort,1916,2010,"producer,writer,miscellaneous"
tt39605045,Joe Cartwright Detective,Joe Cartwright Detective,1967,60,Western,7.4,96,7,writer,created by,8,25,David Dortort,1916,2010,"producer,writer,miscellaneous"
tt37158786,Journey to Terror,Journey to Terror,1967,60,Western,7.4,87,7,writer,created by,8,21,David Dortort,1916,2010,"producer,writer,miscellaneous"
tt65875268,Judgment at Olympus,Judgment at Olympus,1967,60,Western,7.4,92,7,writer,creator,9,4,David Dortort,1916,2010,"producer,writer,miscellaneous"
tt34300062,Judgement at Red Creek,Judgement at Red Creek,1967,60,Western,7.6,79,7,writer,created by,8,24,David Dortort,1916,2010,"producer,writer,miscellaneous"
tt95685237,Justice,Justice,1967,60,Western,7.2,93,7,writer,created by,8,17,David Dortort,1916,2010,"producer,writer,miscellaneous"
tt42265293,Justice Deferred,Justice Deferred,1967,60,Western,7.9,83,7,writer,creator,9,13,David Dortort,1916,2010,"producer,writer,miscellaneous"
tt20554993,Maestro Hoss,Maestro Hoss,1967,60,Western,6.0,92,7,writer,creator,8,33,David Dortort,1916,2010,"producer,writer,miscellaneous"
