0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
tt84879928,Coming Mama,Coming Mama,1961,30,"Comedy,Crime,Drama",7.3,331,9,cinematographer,director of photography,6,26,Benjamin H. Kline,1894,1974,"cinematographer,director,camera_department"
tt36247465,Deathmate,Deathmate,1961,30,"Comedy,Crime,Drama",6.9,293,9,cinematographer,director of photography,6,27,Benjamin H. Kline,1894,1974,"cinematographer,director,camera_department"
tt85337216,Dance of Death,Dance of Death,1961,60,"Crime,Drama,Mystery",6.7,9,9,cinematographer,director of photography,1,29,Benjamin H. Kline,1894,1974,"cinematographer,director,camera_department"
tt88529979,Jungle Castle,Jungle Castle,1961,60,"Crime,Drama,Mystery",6.8,12,10,cinematographer,director of photography,1,26,Benjamin H. Kline,1894,1974,"cinematographer,director,camera_department"
tt42331429,One for the Book,One for the Book,1961,60,"Crime,Drama,Mystery",7.7,15,10,cinematographer,director of photography,1,24,Benjamin H. Kline,1894,1974,"cinematographer,director,camera_department"
tt93615793,The Paper Killer,The Paper Killer,1961,60,"Crime,Drama,Mystery",7.1,14,10,cinematographer,director of photography,1,25,Benjamin H. Kline,1894,1974,"cinematographer,director,camera_department"
tt37891937,The Two of Us,The Two of Us,1961,60,"Crime,Drama,Mystery",6.6,10,10,cinematographer,director of photography,2,9,Benjamin H. Kline,1894,1974,"cinematographer,director,camera_department"
tt19827341,To the Best of My Recollection,To the Best of My Recollection,1961,60,"Crime,Drama,Mystery",7.2,12,10,cinematographer,director of photography,2,11,Benjamin H. Kline,1894,1974,"cinematographer,director,camera_department"
tt99605826,Karina,Karina,1961,60,Western,7.1,14,9,cinematographer,director of photography,1,6,Benjamin H. Kline,1894,1974,"cinematographer,director,camera_department"
tt85405733,The Shaggy Kings,The Shaggy Kings,1961,60,Western,6.7,10,8,cinematographer,director of photography,1,10,Benjamin H. Kline,1894,1974,"cinematographer,director,camera_department"
tt63069573,A Little White Lye,A Little White Lye,1961,30,"Comedy,Drama",8.6,8,10,cinematographer,director of photography,9,19,Benjamin H. Kline,1894,1974,"cinematographer,director,camera_department"
tt86279794,The Jokes on Me,The Jokes on Me,1961,30,"Comedy,Drama",8.0,9,9,cinematographer,director of photography,9,29,Benjamin H. Kline,1894,1974,"cinematographer,director,camera_department"
tt49144593,A Fistful of Pride,A Fistful of Pride,1961,60,Western,7.7,32,10,cinematographer,director of photography,6,8,Benjamin H. Kline,1894,1974,"cinematographer,director,camera_department"
tt86919599,A Good Imagination,A Good Imagination,1961,60,"Crime,Drama,Horror",8.3,214,9,cinematographer,director of photography,1,31,Benjamin H. Kline,1894,1974,"cinematographer,director,camera_department"
tt21969465,The Beth Pearson Story,The Beth Pearson Story,1961,60,Western,8.5,83,10,cinematographer,director of photography,4,22,Benjamin H. Kline,1894,1974,"cinematographer,director,camera_department"
tt53196243,Weight of Command,Weight of Command,1961,60,Western,9.1,87,9,cinematographer,director of photography,4,18,Benjamin H. Kline,1894,1974,"cinematographer,director,camera_department"
tt83669165,Jack on Trial for Murder,Jack on Trial for Murder,1961,30,Comedy,8.4,71,10,producer,producer,12,3,Ralph Levy,1919,2001,"director,producer"
tt93767495,A Swiss Affair,A Swiss Affair,1961,60,"Comedy,Drama",6.6,13,8,cinematographer,director of photography,1,12,George E. Diskant,1907,1965,"cinematographer,camera_department"
tt94499399,Doyle Against the House,Doyle Against the House,1961,60,"Comedy,Drama",8.2,17,9,cinematographer,director of photography,1,5,George E. Diskant,1907,1965,"cinematographer,camera_department"
tt99059548,Goodbye Hannah,Goodbye Hannah,1961,60,"Comedy,Drama",7.5,13,9,cinematographer,director of photography,1,9,George E. Diskant,1907,1965,"cinematographer,camera_department"
tt37810333,John J Diggs,John J Diggs,1961,60,"Comedy,Drama",6.3,11,9,cinematographer,director of photography,1,4,George E. Diskant,1907,1965,"cinematographer,camera_department"
tt39946017,Open Season,Open Season,1961,60,"Comedy,Drama",6.1,11,9,cinematographer,director of photography,1,14,George E. Diskant,1907,1965,"cinematographer,camera_department"
tt50455063,Out of the Night,Out of the Night,1961,60,"Comedy,Drama",7.2,15,9,cinematographer,director of photography,1,6,George E. Diskant,1907,1965,"cinematographer,camera_department"
tt99357826,Somebodys Waiting,Somebodys Waiting,1961,60,"Comedy,Drama",7.2,15,9,cinematographer,director of photography,1,7,George E. Diskant,1907,1965,"cinematographer,camera_department"
tt90964582,The Fifth Caller,The Fifth Caller,1961,60,"Comedy,Drama",6.6,15,9,cinematographer,director of photography,1,13,George E. Diskant,1907,1965,"cinematographer,camera_department"
tt30064204,Three Soldiers,Three Soldiers,1961,60,"Comedy,Drama",5.2,11,8,cinematographer,director of photography,1,11,George E. Diskant,1907,1965,"cinematographer,camera_department"
tt45972965,Who Killed Julie Greer,Who Killed Julie Greer,1961,60,"Comedy,Drama",7.5,44,9,cinematographer,director of photography,1,1,George E. Diskant,1907,1965,"cinematographer,camera_department"
tt24316360,A Great Day for a Scoundrel,A Great Day for a Scoundrel,1961,30,Drama,7.4,12,10,cinematographer,director of photography,2,20,George E. Diskant,1907,1965,"cinematographer,camera_department"
tt67222351,Affair in Athens,Affair in Athens,1961,30,Drama,6.7,9,10,cinematographer,director of photography,2,17,George E. Diskant,1907,1965,"cinematographer,camera_department"
