0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
tt13093262,Take My Furniture Please,Take My Furniture Please,1973,25,Comedy,8.7,101,7,writer,developed for television by,3,22,Garry Marshall,1934,2016,"writer,producer,actor"
tt77452877,That Was No Lady,That Was No Lady,1973,30,Comedy,7.7,61,7,writer,developed for television by,4,4,Garry Marshall,1934,2016,"writer,producer,actor"
tt53677092,The Exorcists,The Exorcists,1973,26,Comedy,7.9,73,7,writer,developed for television by,4,12,Garry Marshall,1934,2016,"writer,producer,actor"
tt57358813,The Hustler,The Hustler,1973,25,Comedy,8.2,70,7,writer,developed for television by,3,18,Garry Marshall,1934,2016,"writer,producer,actor"
tt69345386,The Ides of April,The Ides of April,1973,30,Comedy,8.4,68,7,writer,developed for television by,3,16,Garry Marshall,1934,2016,"writer,producer,actor"
tt58677247,The Murray Who Came to Dinner,The Murray Who Came to Dinner,1973,25,Comedy,7.6,53,7,writer,developed for television by,3,23,Garry Marshall,1934,2016,"writer,producer,actor"
tt81586917,The Odd Decathalon,The Odd Decathalon,1973,25,Comedy,7.9,65,7,writer,developed for television by,4,3,Garry Marshall,1934,2016,"writer,producer,actor"
tt20534084,The Odd Holiday,The Odd Holiday,1973,25,Comedy,8.2,57,7,writer,developed for television by,4,5,Garry Marshall,1934,2016,"writer,producer,actor"
tt76050691,The Odyssey Couple,The Odyssey Couple,1973,25,Comedy,7.0,57,7,writer,developed for television by,3,21,Garry Marshall,1934,2016,"writer,producer,actor"
tt63285958,The Pig Who Came to Dinner,The Pig Who Came to Dinner,1973,26,Comedy,7.7,62,7,writer,developed for television by,4,10,Garry Marshall,1934,2016,"writer,producer,actor"
tt89599860,That Is the Army Mrs Madison,That Is the Army Mrs Madison,1973,26,Comedy,7.3,55,7,writer,developed for television by,4,7,Garry Marshall,1934,2016,"writer,producer,actor"
tt83812288,Johnny Piper,Johnny Piper,1973,30,"Adventure,Drama,Family",7.2,17,8,producer,producer,19,23,William Beaudine Jr.,1921,2018,"production_manager,producer,assistant_director"
tt22845966,The Dawning,The Dawning,1973,30,"Adventure,Drama,Family",6.7,18,7,producer,producer,19,24,William Beaudine Jr.,1921,2018,"production_manager,producer,assistant_director"
tt35702845,Challenge of the Mountain Part 2,Challenge of the Mountain Part 2,1973,30,"Adventure,Drama,Family",7.6,17,7,producer,producer,19,17,William Beaudine Jr.,1921,2018,"production_manager,producer,assistant_director"
tt49413201,The Phantom of Herald Square,The Phantom of Herald Square,1973,60,"Drama,Horror,Mystery",7.1,72,6,writer,story,1,22,Edward DeBlasio,1926,2015,"writer,producer,script_department"
tt86409255,A Wrongful Death,A Wrongful Death,1973,52,"Action,Crime,Drama",7.5,126,6,writer,written by,2,1,Edward DeBlasio,1926,2015,"writer,producer,script_department"
tt26107398,Deadly Heritage,Deadly Heritage,1973,60,"Action,Crime,Drama",7.8,84,7,writer,writer,2,24,Robert Lewin,1920,2004,"producer,writer,miscellaneous"
tt77689894,Prisoners,Prisoners,1973,60,"Action,Crime,Drama",7.4,86,7,writer,writer,2,20,Robert Lewin,1920,2004,"producer,writer,miscellaneous"
tt52539798,The Praying Mantis Kills,The Praying Mantis Kills,1973,49,"Adventure,Drama,Western",7.6,130,8,writer,written by,1,9,Robert Lewin,1920,2004,"producer,writer,miscellaneous"
tt30089311,The Third Man,The Third Man,1973,51,"Adventure,Drama,Western",8.0,116,8,writer,written by,1,14,Robert Lewin,1920,2004,"producer,writer,miscellaneous"
tt86485098,Harem,Harem,1973,52,"Action,Crime,Drama",7.9,119,6,writer,written by,2,7,John D.F. Black,1932,2018,"writer,producer,director"
tt10966023,My Dad Lives in a Downtown Hotel,My Dad Lives in a Downtown Hotel,1973,60,"Adventure,Comedy,Drama",5.7,14,10,writer,writer,2,2,Elinor Karpf,1939,2013,"writer,producer"
tt33508857,Five Hundred Carats,Five Hundred Carats,1973,51,"Crime,Drama,Mystery",6.9,53,9,production_designer,designer,2,2,Patrick Downing,1928,2005,"production_designer,art_department"
tt77051294,Johnny Piper,Johnny Piper,1973,30,"Adventure,Drama,Family",7.2,17,6,writer,writer,19,23,Eric Freiwald,1927,2010,"writer,miscellaneous,music_department"
tt30580072,The Dawning,The Dawning,1973,30,"Adventure,Drama,Family",6.7,18,5,writer,writer,19,24,Eric Freiwald,1927,2010,"writer,miscellaneous,music_department"
tt92148910,Johnny Piper,Johnny Piper,1973,30,"Adventure,Drama,Family",7.2,17,7,writer,writer,19,23,Robert Schaefer,1926,2006,"writer,miscellaneous,music_department"
tt46691168,The Dawning,The Dawning,1973,30,"Adventure,Drama,Family",6.7,18,6,writer,writer,19,24,Robert Schaefer,1926,2006,"writer,miscellaneous,music_department"
tt48786245,Once Upon a Planet,Once Upon a Planet,1973,23,"Action,Adventure,Animation",6.2,651,7,writer,written by,1,9,Chuck Menville,1940,1992,"writer,miscellaneous,producer"
tt18790054,Lost,Lost,1973,22,"Adventure,Animation,Family",2.2,9,6,writer,written by,1,2,Chuck Menville,1940,1992,"writer,miscellaneous,producer"
tt55898118,The Animals Are Missing,The Animals Are Missing,1973,22,"Adventure,Animation,Family",5.3,9,6,writer,written by,1,3,Chuck Menville,1940,1992,"writer,miscellaneous,producer"
tt12396977,Mystic Monster,Mystic Monster,1973,22,"Adventure,Animation,Family",5.3,10,6,writer,written by,1,4,Chuck Menville,1940,1992,"writer,miscellaneous,producer"
tt63210771,Lassies Special Assignment,Lassies Special Assignment,1973,22,"Adventure,Animation,Family",5.1,8,6,writer,written by,1,5,Chuck Menville,1940,1992,"writer,miscellaneous,producer"
tt30966621,The Imposters,The Imposters,1973,22,"Adventure,Animation,Family",6.5,10,6,writer,written by,1,6,Chuck Menville,1940,1992,"writer,miscellaneous,producer"
tt39113991,Deadly Cargo,Deadly Cargo,1973,22,"Adventure,Animation,Family",2.3,9,6,writer,written by,1,7,Chuck Menville,1940,1992,"writer,miscellaneous,producer"
tt93928860,Grizzly,Grizzly,1973,22,"Adventure,Animation,Family",6.4,10,6,writer,written by,1,8,Chuck Menville,1940,1992,"writer,miscellaneous,producer"
tt54567166,Deepsea Disaster,Deepsea Disaster,1973,22,"Adventure,Animation,Family",7.0,9,6,writer,written by,1,9,Chuck Menville,1940,1992,"writer,miscellaneous,producer"
tt75348064,Black Out,Black Out,1973,22,"Adventure,Animation,Family",6.8,9,6,writer,written by,1,10,Chuck Menville,1940,1992,"writer,miscellaneous,producer"
tt50751456,Arctic Adventure,Arctic Adventure,1973,22,"Adventure,Animation,Family",5.1,9,6,writer,written by,1,11,Chuck Menville,1940,1992,"writer,miscellaneous,producer"
tt78033800,The Sunken Galleon,The Sunken Galleon,1973,22,"Adventure,Animation,Family",1.8,9,6,writer,written by,1,12,Chuck Menville,1940,1992,"writer,miscellaneous,producer"
tt27406009,Goldmine,Goldmine,1973,22,"Adventure,Animation,Family",4.9,9,6,writer,written by,1,13,Chuck Menville,1940,1992,"writer,miscellaneous,producer"
tt39616924,Rodeo,Rodeo,1973,22,"Adventure,Animation,Family",5.8,9,6,writer,written by,1,14,Chuck Menville,1940,1992,"writer,miscellaneous,producer"
tt97909265,Hullabaloo in Hollywood,Hullabaloo in Hollywood,1973,22,"Adventure,Animation,Family",7.3,9,6,writer,written by,1,15,Chuck Menville,1940,1992,"writer,miscellaneous,producer"
tt86144522,Tidal Wave,Tidal Wave,1973,22,"Adventure,Animation,Family",6.3,9,6,writer,written by,1,16,Chuck Menville,1940,1992,"writer,miscellaneous,producer"
tt98673418,Beyond the Farthest Star,Beyond the Farthest Star,1973,25,"Action,Adventure,Animation",6.6,926,9,producer,producer,1,1,Norm Prescott,1927,2005,"producer,composer,music_department"
tt72744588,Yesteryear,Yesteryear,1973,25,"Action,Adventure,Animation",8.0,970,8,producer,producer,1,2,Norm Prescott,1927,2005,"producer,composer,music_department"
tt39520958,More Tribbles More Troubles,More Tribbles More Troubles,1973,24,"Action,Adventure,Animation",7.0,800,9,producer,producer,1,5,Norm Prescott,1927,2005,"producer,composer,music_department"
tt58236937,Mudds Passion,Mudds Passion,1973,23,"Action,Adventure,Animation",6.3,660,9,producer,producer,1,10,Norm Prescott,1927,2005,"producer,composer,music_department"
tt55835384,Once Upon a Planet,Once Upon a Planet,1973,23,"Action,Adventure,Animation",6.2,651,10,producer,producer,1,9,Norm Prescott,1927,2005,"producer,composer,music_department"
tt21969966,One of Our Planets Is Missing,One of Our Planets Is Missing,1973,24,"Action,Adventure,Animation",6.6,772,9,producer,producer,1,3,Norm Prescott,1927,2005,"producer,composer,music_department"
tt86150554,The Ambergris Element,The Ambergris Element,1973,25,"Action,Adventure,Animation",6.3,619,9,producer,producer,1,13,Norm Prescott,1927,2005,"producer,composer,music_department"
tt49920030,The Infinite Vulcan,The Infinite Vulcan,1973,23,"Action,Adventure,Animation",6.1,697,9,producer,producer,1,7,Norm Prescott,1927,2005,"producer,composer,music_department"
tt39181163,The Lorelei Signal,The Lorelei Signal,1973,25,"Action,Adventure,Animation",6.4,778,9,producer,producer,1,4,Norm Prescott,1927,2005,"producer,composer,music_department"
tt68341732,The Magicks of MegasTu,The Magicks of MegasTu,1973,23,"Action,Adventure,Animation",5.9,705,9,producer,producer,1,8,Norm Prescott,1927,2005,"producer,composer,music_department"
tt35410003,The Slaver Weapon,The Slaver Weapon,1973,25,"Action,Adventure,Animation",7.0,673,9,producer,producer,1,14,Norm Prescott,1927,2005,"producer,composer,music_department"
tt47275767,The Survivor,The Survivor,1973,23,"Action,Adventure,Animation",6.7,718,9,producer,producer,1,6,Norm Prescott,1927,2005,"producer,composer,music_department"
tt90691817,The Terratin Incident,The Terratin Incident,1973,23,"Action,Adventure,Animation",6.6,638,9,producer,producer,1,11,Norm Prescott,1927,2005,"producer,composer,music_department"
tt52551143,The Time Trap,The Time Trap,1973,25,"Action,Adventure,Animation",6.9,640,9,producer,producer,1,12,Norm Prescott,1927,2005,"producer,composer,music_department"
tt14603141,Lost,Lost,1973,22,"Adventure,Animation,Family",2.2,9,8,producer,producer,1,2,Norm Prescott,1927,2005,"producer,composer,music_department"
