0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
tt58956408,Bullwhackers Bounty,Bullwhackers Bounty,1961,30,Western,7.3,25,7,writer,written by,3,19,Don Brinkley,1921,2012,"writer,producer,miscellaneous"
tt18348205,Dagger Dance,Dagger Dance,1961,30,Western,7.5,25,7,writer,written by,3,28,Don Brinkley,1921,2012,"writer,producer,miscellaneous"
tt77118075,Final Settlement,Final Settlement,1961,60,"Crime,Drama",7.9,10,6,writer,written by,1,19,Don Brinkley,1921,2012,"writer,producer,miscellaneous"
tt82372615,Marriage Can Be Fatal,Marriage Can Be Fatal,1961,60,"Crime,Drama",7.5,19,6,writer,written by,1,26,Don Brinkley,1921,2012,"writer,producer,miscellaneous"
tt24428208,No Shroud for Shayne,No Shroud for Shayne,1961,60,"Crime,Drama",7.8,9,6,writer,written by,1,30,Don Brinkley,1921,2012,"writer,producer,miscellaneous"
tt27988356,The Corruptors,The Corruptors,1961,30,Drama,7.2,16,7,writer,teleplay,1,1,Don Brinkley,1921,2012,"writer,producer,miscellaneous"
tt35611450,The Big Dealer,The Big Dealer,1961,60,"Action,Adventure,Crime",7.2,9,6,writer,teleplay,2,36,Philip Saltzman,1928,2009,"producer,writer,miscellaneous"
tt74137571,Tusitala,Tusitala,1961,60,"Action,Adventure,Crime",7.0,10,6,writer,teleplay,3,12,Philip Saltzman,1928,2009,"producer,writer,miscellaneous"
tt66097953,The Wedding Guest,The Wedding Guest,1961,60,Drama,7.8,8,6,writer,teleplay,2,2,Philip Saltzman,1928,2009,"producer,writer,miscellaneous"
tt71584389,Crime and Commitment Part 1,Crime and Commitment Part 1,1961,60,"Crime,Drama",7.3,9,10,cinematographer,director of photography,1,1,William W. Spencer,1921,2007,"cinematographer,camera_department"
tt87650153,King of the Mountain,King of the Mountain,1961,60,"Crime,Drama",6.5,9,10,cinematographer,director of photography,1,6,William W. Spencer,1921,2007,"cinematographer,camera_department"
tt98985529,A Bullet for the Boy,A Bullet for the Boy,1961,30,"Action,Crime,Drama",6.8,44,10,cinematographer,director of photography,3,33,William W. Spencer,1921,2007,"cinematographer,camera_department"
tt47856008,Bullet in Escrow,Bullet in Escrow,1961,25,"Action,Crime,Drama",7.5,61,10,cinematographer,director of photography,3,15,William W. Spencer,1921,2007,"cinematographer,camera_department"
tt87716481,Death Is a Four Letter Word,Death Is a Four Letter Word,1961,30,"Action,Crime,Drama",7.3,44,9,cinematographer,director of photography,3,34,William W. Spencer,1921,2007,"cinematographer,camera_department"
tt37734139,Voodoo,Voodoo,1961,30,"Action,Crime,Drama",6.4,42,9,cinematographer,director of photography,3,36,William W. Spencer,1921,2007,"cinematographer,camera_department"
tt30449474,Never Back Losers,Never Back Losers,1961,61,"Crime,Drama,Mystery",6.3,49,6,writer,screenplay,2,6,Lukas Heller,1930,1988,writer
tt52442783,Tanoa,Tanoa,1961,60,Western,8.0,20,8,writer,teleplay,6,5,Lewis R. Foster,1898,1974,"director,writer,assistant_director"
tt58679457,2020,2020,1961,30,"Drama,Fantasy,Horror",7.7,24,7,producer,producer,1,14,Jacqueline Babbin,1921,2001,"producer,writer,script_department"
tt63194755,Death Wish,Death Wish,1961,30,"Drama,Fantasy,Horror",7.5,41,7,producer,producer,1,9,Jacqueline Babbin,1921,2001,"producer,writer,script_department"
tt83967827,Dissolve to Black,Dissolve to Black,1961,30,"Drama,Fantasy,Horror",7.6,43,7,producer,producer,1,8,Jacqueline Babbin,1921,2001,"producer,writer,script_department"
tt88943641,False Face,False Face,1961,30,"Drama,Fantasy,Horror",8.2,39,7,producer,producer,1,7,Jacqueline Babbin,1921,2001,"producer,writer,script_department"
tt73142251,HushHush,HushHush,1961,30,"Drama,Fantasy,Horror",7.3,26,7,producer,producer,1,11,Jacqueline Babbin,1921,2001,"producer,writer,script_department"
tt25217510,I Heard You Calling Me,I Heard You Calling Me,1961,30,"Drama,Fantasy,Horror",8.2,46,7,producer,producer,1,5,Jacqueline Babbin,1921,2001,"producer,writer,script_department"
tt30312043,Soft Focus,Soft Focus,1961,30,"Drama,Fantasy,Horror",9.2,10,7,producer,producer,1,13,Jacqueline Babbin,1921,2001,"producer,writer,script_department"
tt65747554,The Croaker,The Croaker,1961,26,"Drama,Fantasy,Horror",7.3,44,7,producer,producer,1,6,Jacqueline Babbin,1921,2001,"producer,writer,script_department"
tt60204115,The Overnight Case,The Overnight Case,1961,30,"Drama,Fantasy,Horror",7.7,26,7,producer,producer,1,10,Jacqueline Babbin,1921,2001,"producer,writer,script_department"
tt15524202,William and Mary,William and Mary,1961,30,"Drama,Fantasy,Horror",7.2,46,7,producer,producer,1,1,Jacqueline Babbin,1921,2001,"producer,writer,script_department"
tt79740301,The Picture of Dorian Gray,The Picture of Dorian Gray,1961,60,Drama,5.3,6,6,writer,adaptation,1,1,Jacqueline Babbin,1921,2001,"producer,writer,script_department"
tt48922108,Empty Hours,Empty Hours,1961,60,"Crime,Drama",7.6,12,8,producer,producer,1,9,Winston Miller,1910,1994,"producer,writer,actor"
tt56837088,The Heckler,The Heckler,1961,60,"Crime,Drama",8.2,11,8,producer,producer,1,13,Winston Miller,1910,1994,"producer,writer,actor"
tt95111807,Line of Duty,Line of Duty,1961,60,"Crime,Drama",7.2,15,7,producer,producer,1,5,Winston Miller,1910,1994,"producer,writer,actor"
tt80864198,My Friend My Enemy,My Friend My Enemy,1961,60,"Crime,Drama",8.4,12,8,producer,producer,1,10,Winston Miller,1910,1994,"producer,writer,actor"
tt85256363,Occupation Citizen,Occupation Citizen,1961,60,"Crime,Drama",7.6,11,7,writer,writer,1,6,Winston Miller,1910,1994,"producer,writer,actor"
tt78246688,The Floater,The Floater,1961,60,"Crime,Drama",7.3,29,6,writer,teleplay,1,1,Winston Miller,1910,1994,"producer,writer,actor"
tt41577785,The Very Hard Sell,The Very Hard Sell,1961,60,"Crime,Drama",8.1,13,8,producer,producer,1,11,Winston Miller,1910,1994,"producer,writer,actor"
tt26292484,The Passing of Kuba Smith,The Passing of Kuba Smith,1961,60,Western,8.5,68,7,producer,producer,2,14,Winston Miller,1910,1994,"producer,writer,actor"
tt29282481,Killers Payoff,Killers Payoff,1961,60,"Crime,Drama",7.6,15,8,producer,producer,1,7,Boris Kaplan,1915,1999,"miscellaneous,producer"
tt52698305,Lady Killer,Lady Killer,1961,60,"Crime,Drama",7.6,15,8,producer,producer,1,3,Boris Kaplan,1915,1999,"miscellaneous,producer"
tt96413498,Lady in Waiting,Lady in Waiting,1961,60,"Crime,Drama",7.4,16,7,producer,producer,1,2,Boris Kaplan,1915,1999,"miscellaneous,producer"
tt85600715,Run Rabbit Run,Run Rabbit Run,1961,60,"Crime,Drama",7.8,13,8,producer,producer,1,14,Boris Kaplan,1915,1999,"miscellaneous,producer"
tt73287982,The Floater,The Floater,1961,60,"Crime,Drama",7.3,29,8,producer,producer,1,1,Boris Kaplan,1915,1999,"miscellaneous,producer"
tt44934719,The Guilt,The Guilt,1961,60,"Crime,Drama",7.3,14,8,producer,producer,1,8,Boris Kaplan,1915,1999,"miscellaneous,producer"
tt73311615,The Modus Man,The Modus Man,1961,60,"Crime,Drama",7.6,16,8,producer,producer,1,4,Boris Kaplan,1915,1999,"miscellaneous,producer"
tt83394676,Til Death,Til Death,1961,60,"Crime,Drama",7.6,9,8,producer,producer,1,12,Boris Kaplan,1915,1999,"miscellaneous,producer"
tt74657047,Listen to the Nightingale,Listen to the Nightingale,1961,49,"Adventure,Western",5.3,9,8,producer,producer,2,13,Boris Kaplan,1915,1999,"miscellaneous,producer"
tt25089710,A Quiet Town,A Quiet Town,1961,30,Drama,8.2,6,6,writer,creator,1,29,Sy Gomberg,1918,2001,"writer,producer"
tt69086394,A Very Special Citizen,A Very Special Citizen,1961,30,Drama,8.2,6,6,writer,creator,1,23,Sy Gomberg,1918,2001,"writer,producer"
tt23520369,The Best Defense,The Best Defense,1961,60,"Crime,Drama",7.9,19,6,writer,written by,1,16,Ernest Kinoy,1925,2014,writer
tt66560967,The Man with the Concrete Thumb,The Man with the Concrete Thumb,1961,60,"Crime,Drama",7.8,17,6,writer,written by,1,10,Ernest Kinoy,1925,2014,writer
tt57076001,The Hot Minerva,The Hot Minerva,1961,60,"Crime,Drama,Thriller",6.9,58,6,writer,writer,3,9,Ernest Kinoy,1925,2014,writer
tt16751455,The Hunting Instinct,The Hunting Instinct,1961,60,"Adventure,Drama,Family",8.5,21,10,writer,writer,8,5,Joe Rinaldi,1914,1974,"writer,art_department"
tt66866936,A Salute to Father,A Salute to Father,1961,60,"Adventure,Drama,Family",9.5,12,7,writer,writer,7,13,Joe Rinaldi,1914,1974,"writer,art_department"
tt96169218,The Hunting Instinct,The Hunting Instinct,1961,60,"Adventure,Drama,Family",8.5,21,5,writer,writer,8,5,Bill Berg,1917,2002,"writer,animation_department,miscellaneous"
tt45225365,An Adventure in ColorMathmagic Land,An Adventure in ColorMathmagic Land,1961,60,"Adventure,Drama,Family",8.2,72,9,writer,writer,8,1,Bill Berg,1917,2002,"writer,animation_department,miscellaneous"
tt11925783,Inside Donald Duck,Inside Donald Duck,1961,60,"Adventure,Drama,Family",7.0,20,7,writer,story,8,6,Bill Berg,1917,2002,"writer,animation_department,miscellaneous"
tt22494255,Kids Is Kids,Kids Is Kids,1961,60,"Adventure,Drama,Family",9.1,24,6,writer,story,8,11,Bill Berg,1917,2002,"writer,animation_department,miscellaneous"
tt34201005,The Hunting Instinct,The Hunting Instinct,1961,60,"Adventure,Drama,Family",8.5,21,6,writer,writer,8,5,Ted Berman,1919,2001,"writer,animation_department,director"
tt81660442,The Hunting Instinct,The Hunting Instinct,1961,60,"Adventure,Drama,Family",8.5,21,7,writer,writer,8,5,Otto Englander,1906,1969,"writer,animation_department,soundtrack"
tt36667500,A Salute to Father,A Salute to Father,1961,60,"Adventure,Drama,Family",9.5,12,6,writer,writer,7,13,Otto Englander,1906,1969,"writer,animation_department,soundtrack"
tt99682016,The Hunting Instinct,The Hunting Instinct,1961,60,"Adventure,Drama,Family",8.5,21,8,writer,writer,8,5,Tom Koch,1925,2015,"writer,executive,director"
tt62254349,The Hunting Instinct,The Hunting Instinct,1961,60,"Adventure,Drama,Family",8.5,21,9,writer,writer,8,5,Brice Mack,1917,2008,"animation_department,writer,director"
tt71518057,The Iron Silence,The Iron Silence,1961,30,"Comedy,Drama",7.4,9,7,writer,story,10,3,Guy de Maupassant,1850,1893,writer
tt57138685,The Prisoner of Zenda,The Prisoner of Zenda,1961,90,"Comedy,Drama,History",5.6,12,6,writer,teleplay,4,5,Sumner Locke Elliott,1917,1991,"writer,editor,miscellaneous"
tt24183872,I Heard You Calling Me,I Heard You Calling Me,1961,30,"Drama,Fantasy,Horror",8.2,46,6,writer,written by,1,5,Sumner Locke Elliott,1917,1991,"writer,editor,miscellaneous"
tt15591975,The Tiger,The Tiger,1961,30,"Drama,Fantasy,Horror",7.7,50,7,writer,dramatization,3,34,Ian Stuart Black,1915,1997,"writer,miscellaneous,script_department"
tt84940173,Boy Jack,Boy Jack,1961,30,"Adventure,Family",6.3,19,6,writer,writer,1,7,Ian Stuart Black,1915,1997,"writer,miscellaneous,script_department"
