0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
tt20451787,Easton Texas,Easton Texas,1957,30,Western,8.2,28,8,cinematographer,director of photography,1,4,Guy Roe,1903,1959,"cinematographer,camera_department"
tt33581000,End of an Outlaw,End of an Outlaw,1957,30,Western,8.0,27,8,cinematographer,director of photography,1,9,Guy Roe,1903,1959,"cinematographer,camera_department"
tt54848768,Law in Lampasas,Law in Lampasas,1957,30,Western,7.9,34,8,cinematographer,director of photography,1,2,Guy Roe,1903,1959,"cinematographer,camera_department"
tt88952776,Like Father,Like Father,1957,30,Western,7.9,28,8,cinematographer,director of photography,1,5,Guy Roe,1903,1959,"cinematographer,camera_department"
tt19824539,Look for the Woman,Look for the Woman,1957,30,Western,8.4,23,8,cinematographer,director of photography,1,10,Guy Roe,1903,1959,"cinematographer,camera_department"
tt15280843,Man and Money,Man and Money,1957,30,Western,7.9,31,8,cinematographer,director of photography,1,12,Guy Roe,1903,1959,"cinematographer,camera_department"
tt29236438,The Marple Brothers,The Marple Brothers,1957,30,Western,7.9,39,8,cinematographer,director of photography,1,1,Guy Roe,1903,1959,"cinematographer,camera_department"
tt35179827,SelfDefense,SelfDefense,1957,30,Western,7.7,28,8,cinematographer,director of photography,1,8,Guy Roe,1903,1959,"cinematographer,camera_department"
tt69694721,Sweetwater Texas,Sweetwater Texas,1957,30,Western,7.7,35,8,cinematographer,director of photography,1,6,Guy Roe,1903,1959,"cinematographer,camera_department"
tt27432401,The San Saba Incident,The San Saba Incident,1957,30,Western,8.1,31,8,cinematographer,director of photography,1,3,Guy Roe,1903,1959,"cinematographer,camera_department"
tt80139812,The Town,The Town,1957,30,Western,7.9,38,8,cinematographer,director of photography,1,11,Guy Roe,1903,1959,"cinematographer,camera_department"
tt37025854,A Gun Is for Killing,A Gun Is for Killing,1957,30,Western,7.5,28,9,cinematographer,director of photography,2,3,Guy Roe,1903,1959,"cinematographer,camera_department"
tt62860041,A Gun for My Bride,A Gun for My Bride,1957,30,Western,7.2,26,10,cinematographer,director of photography,2,12,Guy Roe,1903,1959,"cinematographer,camera_department"
tt44079370,A Man to Look Up To,A Man to Look Up To,1957,30,Western,8.2,22,10,cinematographer,director of photography,2,9,Guy Roe,1903,1959,"cinematographer,camera_department"
tt99828134,Backtrail,Backtrail,1957,30,Western,7.1,32,9,cinematographer,director of photography,1,18,Guy Roe,1903,1959,"cinematographer,camera_department"
tt23136954,Black Is for Grief,Black Is for Grief,1957,30,Western,7.0,34,8,cinematographer,director of photography,1,26,Guy Roe,1903,1959,"cinematographer,camera_department"
tt76381512,Blood in the Dust,Blood in the Dust,1957,30,Western,7.5,25,9,cinematographer,director of photography,2,2,Guy Roe,1903,1959,"cinematographer,camera_department"
tt32910167,Dangerous Orders,Dangerous Orders,1957,30,Western,7.2,31,10,cinematographer,director of photography,1,19,Guy Roe,1903,1959,"cinematographer,camera_department"
tt82654450,Proud Woman,Proud Woman,1957,30,Western,7.4,36,10,cinematographer,director of photography,2,4,Guy Roe,1903,1959,"cinematographer,camera_department"
tt14578638,The Necessary Breed,The Necessary Breed,1957,30,Western,7.1,26,9,cinematographer,director of photography,1,20,Guy Roe,1903,1959,"cinematographer,camera_department"
tt73891027,The Open Cell,The Open Cell,1957,30,Western,6.9,21,8,cinematographer,director of photography,2,8,Guy Roe,1903,1959,"cinematographer,camera_department"
tt19885914,Time of Decision,Time of Decision,1957,30,Western,7.3,28,10,cinematographer,director of photography,1,16,Guy Roe,1903,1959,"cinematographer,camera_department"
tt81162552,Until the Man Dies,Until the Man Dies,1957,30,Western,7.1,34,9,cinematographer,director of photography,1,17,Guy Roe,1903,1959,"cinematographer,camera_department"
tt13282391,Jak krtek ke kalhotkám prisel,Jak krtek ke kalhotkám prisel,1957,7,"Adventure,Animation,Comedy",8.0,163,6,writer,dialogue,1,1,Eduard Petiska,1924,1987,writer
tt76705618,The Miracle Worker,The Miracle Worker,1957,90,"Comedy,Crime,Drama",8.4,13,6,writer,writer,1,19,William Gibson,1914,2008,writer
tt83862569,Wheres Charley,Wheres Charley,1957,90,"Comedy,Crime,Drama",6.4,13,7,writer,from the play by,1,26,Brandon Thomas,1848,1914,writer
tt21075656,Blondie the Breadwinner,Blondie the Breadwinner,1957,30,"Comedy,Family",5.9,11,5,writer,creator,1,13,Chic Young,1901,1973,writer
tt92739739,Dagwoods Ego,Dagwoods Ego,1957,30,"Comedy,Family",6.6,19,7,writer,created by,1,1,Chic Young,1901,1973,writer
tt31034201,Deception,Deception,1957,30,"Comedy,Family",6.1,9,8,writer,creator,1,16,Chic Young,1901,1973,writer
tt82146354,Howdy Neighbor,Howdy Neighbor,1957,30,"Comedy,Family",5.3,10,5,writer,creator,1,26,Chic Young,1901,1973,writer
tt55811699,Husbands Once Removed,Husbands Once Removed,1957,30,"Comedy,Family",4.9,10,5,writer,creator,1,9,Chic Young,1901,1973,writer
tt48250044,Made to Fire,Made to Fire,1957,30,"Comedy,Family",5.9,9,8,writer,creator,1,18,Chic Young,1901,1973,writer
tt92311552,Oil for the Lamps of Blondie,Oil for the Lamps of Blondie,1957,30,"Comedy,Family",6.0,10,5,writer,creator,1,12,Chic Young,1901,1973,writer
tt88919031,Puppy Love,Puppy Love,1957,30,"Comedy,Family",6.5,12,8,writer,creator,1,17,Chic Young,1901,1973,writer
tt34162289,The Rummage Sale,The Rummage Sale,1957,30,"Comedy,Family",6.0,10,6,writer,creator,1,14,Chic Young,1901,1973,writer
tt95782879,The Spy,The Spy,1957,30,"Comedy,Family",6.0,9,7,writer,creator,1,21,Chic Young,1901,1973,writer
tt18215672,The Payoff Money,The Payoff Money,1957,30,"Comedy,Family",5.9,10,8,writer,creator,1,10,Chic Young,1901,1973,writer
tt14044800,Blondie Redecorates,Blondie Redecorates,1957,30,"Comedy,Family",5.5,9,7,writer,creator,1,19,Chic Young,1901,1973,writer
tt40110262,Blondies Double,Blondies Double,1957,30,"Comedy,Family",6.6,9,6,writer,creator,1,20,Chic Young,1901,1973,writer
tt51365769,Cupids Question Column,Cupids Question Column,1957,30,"Comedy,Family",5.9,10,7,writer,creator,1,22,Chic Young,1901,1973,writer
tt95459988,Follow That Man,Follow That Man,1957,30,"Comedy,Family",5.8,10,7,writer,creator,1,24,Chic Young,1901,1973,writer
tt96979412,The Idol,The Idol,1957,30,"Comedy,Family",5.8,9,7,writer,creator,1,11,Chic Young,1901,1973,writer
tt10318824,The Party,The Party,1957,30,"Comedy,Family",6.0,11,7,writer,creator,1,25,Chic Young,1901,1973,writer
tt22960581,The Tramp,The Tramp,1957,30,"Comedy,Family",6.3,10,7,writer,creator,1,23,Chic Young,1901,1973,writer
tt57516913,The Quiz Show,The Quiz Show,1957,30,"Comedy,Family",6.3,10,6,writer,creator,1,8,Chic Young,1901,1973,writer
tt33438131,The Expatriate,The Expatriate,1957,25,Mystery,6.1,7,10,cinematographer,director of photography,1,26,Wolfgang Suschitzky,1912,2016,"cinematographer,miscellaneous"
tt13723008,Four Fabulous Characters,Four Fabulous Characters,1957,60,"Adventure,Drama,Family",10.0,9,6,director,segment director,4,2,Wilfred Jackson,1906,1988,"director,animation_department,music_department"
tt66686905,Tricks of Our Trade,Tricks of Our Trade,1957,53,"Adventure,Drama,Family",7.7,46,6,director,cartoon director,3,16,Wilfred Jackson,1906,1988,"director,animation_department,music_department"
tt15427439,The Dutch Gunmaker,The Dutch Gunmaker,1957,30,Western,8.1,10,7,writer,teleplay,3,34,Eric Freiwald,1927,2010,"writer,miscellaneous,music_department"
tt69257214,Code of Honor,Code of Honor,1957,23,Western,8.8,35,7,writer,original teleplay,5,23,Eric Freiwald,1927,2010,"writer,miscellaneous,music_department"
tt71669692,Ghost Town Fury,Ghost Town Fury,1957,30,Western,8.2,40,6,writer,screenplay,5,29,Eric Freiwald,1927,2010,"writer,miscellaneous,music_department"
tt58346684,Outlaw Masquerade,Outlaw Masquerade,1957,30,Western,8.4,34,7,writer,written by,5,17,Eric Freiwald,1927,2010,"writer,miscellaneous,music_department"
tt64816675,The Angel and the Outlaw,The Angel and the Outlaw,1957,30,Western,8.5,51,7,writer,original teleplay,5,37,Eric Freiwald,1927,2010,"writer,miscellaneous,music_department"
tt44450663,Cycle of Terror,Cycle of Terror,1957,30,Adventure,8.6,9,6,writer,teleplay,1,29,Eric Freiwald,1927,2010,"writer,miscellaneous,music_department"
tt13273903,Ghost Town Flight,Ghost Town Flight,1957,30,Adventure,8.5,9,7,writer,written by,1,7,Eric Freiwald,1927,2010,"writer,miscellaneous,music_department"
tt10713962,Panic at Green Ridge,Panic at Green Ridge,1957,30,Adventure,9.0,6,7,writer,written by,1,39,Eric Freiwald,1927,2010,"writer,miscellaneous,music_department"
tt11866132,The Iron Mountain,The Iron Mountain,1957,30,Adventure,8.8,7,6,writer,teleplay,1,38,Eric Freiwald,1927,2010,"writer,miscellaneous,music_department"
tt74132070,Lassies Day,Lassies Day,1957,30,"Adventure,Drama,Family",7.5,23,7,writer,character,3,23,Eric Knight,1897,1943,writer
tt59824040,The Elephant,The Elephant,1957,30,"Adventure,Drama,Family",7.1,20,6,writer,character,4,8,Eric Knight,1897,1943,writer
tt20830716,The Rock,The Rock,1957,30,"Adventure,Drama,Family",7.9,18,7,writer,character,3,24,Eric Knight,1897,1943,writer
tt80915431,Lassies Vanity,Lassies Vanity,1957,30,"Adventure,Drama,Family",8.0,18,7,writer,character,3,19,Eric Knight,1897,1943,writer
tt76338079,The Search,The Search,1957,30,"Adventure,Drama,Family",7.7,19,7,writer,character,3,29,Eric Knight,1897,1943,writer
tt92660823,The BabySitter,The BabySitter,1957,30,"Adventure,Drama,Family",4.2,18,6,writer,character,4,17,Eric Knight,1897,1943,writer
tt43331371,The Bike,The Bike,1957,30,"Adventure,Drama,Family",3.9,19,6,writer,character,4,15,Eric Knight,1897,1943,writer
tt23222242,Champion,Champion,1957,30,"Adventure,Drama,Family",7.7,18,7,writer,character,3,20,Eric Knight,1897,1943,writer
tt12658034,Vigil,Vigil,1957,30,"Adventure,Drama,Family",7.6,21,7,writer,character,3,21,Eric Knight,1897,1943,writer
tt99331561,Goodbye Forever,Goodbye Forever,1957,30,"Adventure,Drama,Family",7.3,17,6,writer,character,3,18,Eric Knight,1897,1943,writer
tt67757916,Survival,Survival,1957,30,"Adventure,Drama,Family",7.6,20,6,writer,character,3,26,Eric Knight,1897,1943,writer
tt53429475,The Chimp,The Chimp,1957,30,"Adventure,Drama,Family",7.0,22,6,writer,character,3,22,Eric Knight,1897,1943,writer
tt64173683,The Nest,The Nest,1957,30,"Adventure,Drama,Family",7.1,18,6,writer,character,3,33,Eric Knight,1897,1943,writer
tt51447749,The Snob,The Snob,1957,30,"Adventure,Drama,Family",7.9,22,7,writer,character,3,31,Eric Knight,1897,1943,writer
tt72472854,Bird Watchers,Bird Watchers,1957,30,"Adventure,Drama,Family",7.4,21,9,writer,character,3,27,Eric Knight,1897,1943,writer
tt32563174,Poverty,Poverty,1957,30,"Adventure,Drama,Family",7.7,22,6,writer,character,3,35,Eric Knight,1897,1943,writer
tt32840302,The Artist,The Artist,1957,30,"Adventure,Drama,Family",7.7,18,7,writer,character,3,25,Eric Knight,1897,1943,writer
tt73191507,The Harvesters,The Harvesters,1957,30,"Adventure,Drama,Family",7.8,20,8,writer,character,3,37,Eric Knight,1897,1943,writer
tt57156450,Haunted House,Haunted House,1957,30,"Adventure,Drama,Family",7.4,23,7,writer,character,3,32,Eric Knight,1897,1943,writer
tt78962776,Boys Day,Boys Day,1957,30,"Adventure,Drama,Family",7.7,17,8,writer,character,3,30,Eric Knight,1897,1943,writer
tt23037575,The Apple Tree,The Apple Tree,1957,30,"Adventure,Drama,Family",7.6,19,7,writer,character,3,36,Eric Knight,1897,1943,writer
tt52849040,The Runaway,The Runaway,1957,30,"Adventure,Drama,Family",7.3,30,7,writer,character,4,1,Eric Knight,1897,1943,writer
tt79611517,Jeffs Moustache,Jeffs Moustache,1957,30,"Adventure,Drama,Family",7.3,17,6,writer,character,3,38,Eric Knight,1897,1943,writer
tt47594114,Father Ellen,Father Ellen,1957,30,"Adventure,Drama,Family",7.7,17,5,writer,character,3,34,Eric Knight,1897,1943,writer
tt46088381,The Berrypickers,The Berrypickers,1957,30,"Adventure,Drama,Family",7.0,18,7,writer,character,4,5,Eric Knight,1897,1943,writer
tt40083250,The Burro,The Burro,1957,30,"Adventure,Drama,Family",7.3,20,6,writer,character,4,4,Eric Knight,1897,1943,writer
tt51890106,The Spartan,The Spartan,1957,30,"Adventure,Drama,Family",7.8,18,7,writer,character,4,9,Eric Knight,1897,1943,writer
tt83899532,The Suit,The Suit,1957,30,"Adventure,Drama,Family",6.7,22,6,writer,character,4,2,Eric Knight,1897,1943,writer
tt20640151,Transition,Transition,1957,30,"Adventure,Drama,Family",7.9,27,7,writer,character,4,13,Eric Knight,1897,1943,writer
tt83755037,The Ballerina,The Ballerina,1957,30,"Adventure,Drama,Family",7.4,21,7,writer,character,4,7,Eric Knight,1897,1943,writer
tt17093099,The Raccoon,The Raccoon,1957,30,"Adventure,Drama,Family",7.4,22,8,writer,character,4,6,Eric Knight,1897,1943,writer
tt28820739,The Wolf Cub,The Wolf Cub,1957,30,"Adventure,Drama,Family",7.4,21,6,writer,character,4,11,Eric Knight,1897,1943,writer
tt84039336,Graduation,Graduation,1957,30,"Adventure,Drama,Family",7.1,21,7,writer,character,4,3,Eric Knight,1897,1943,writer
tt21306690,The Dutch Gunmaker,The Dutch Gunmaker,1957,30,Western,8.1,10,6,writer,teleplay,3,34,Robert Schaefer,1926,2006,"writer,miscellaneous,music_department"
tt45082165,Code of Honor,Code of Honor,1957,23,Western,8.8,35,6,writer,original teleplay,5,23,Robert Schaefer,1926,2006,"writer,miscellaneous,music_department"
tt85177397,Ghost Town Fury,Ghost Town Fury,1957,30,Western,8.2,40,7,writer,screenplay,5,29,Robert Schaefer,1926,2006,"writer,miscellaneous,music_department"
tt38359970,Outlaw Masquerade,Outlaw Masquerade,1957,30,Western,8.4,34,6,writer,written by,5,17,Robert Schaefer,1926,2006,"writer,miscellaneous,music_department"
tt78723408,The Angel and the Outlaw,The Angel and the Outlaw,1957,30,Western,8.5,51,6,writer,original teleplay,5,37,Robert Schaefer,1926,2006,"writer,miscellaneous,music_department"
tt14851367,Cycle of Terror,Cycle of Terror,1957,30,Adventure,8.6,9,9,writer,teleplay,1,29,Robert Schaefer,1926,2006,"writer,miscellaneous,music_department"
tt42827272,Ghost Town Flight,Ghost Town Flight,1957,30,Adventure,8.5,9,6,writer,written by,1,7,Robert Schaefer,1926,2006,"writer,miscellaneous,music_department"
tt89665420,Panic at Green Ridge,Panic at Green Ridge,1957,30,Adventure,9.0,6,6,writer,written by,1,39,Robert Schaefer,1926,2006,"writer,miscellaneous,music_department"
tt87537899,The Iron Mountain,The Iron Mountain,1957,30,Adventure,8.8,7,9,writer,teleplay,1,38,Robert Schaefer,1926,2006,"writer,miscellaneous,music_department"
tt55143102,Come Back Darling Asta,Come Back Darling Asta,1957,30,"Comedy,Mystery",7.3,14,6,writer,story,1,4,Herman Groves,1927,2010,"writer,miscellaneous,producer"
tt85719611,Bentley and the PTA,Bentley and the PTA,1957,30,"Comedy,Family",7.1,15,6,writer,written by,1,1,Arthur Alsberg,1917,2004,"miscellaneous,writer,producer"
tt60353037,Bentley and the Revolving Housekeepers,Bentley and the Revolving Housekeepers,1957,30,"Comedy,Family",7.5,12,6,writer,written by,1,6,Arthur Alsberg,1917,2004,"miscellaneous,writer,producer"
tt25506971,Uncle Bentley and the Aunts,Uncle Bentley and the Aunts,1957,30,"Comedy,Family",7.2,11,6,writer,written by,1,5,Arthur Alsberg,1917,2004,"miscellaneous,writer,producer"
tt96327685,Uncle Bentley and the Lady Doctor,Uncle Bentley and the Lady Doctor,1957,30,"Comedy,Family",7.6,14,6,writer,written by,1,3,Arthur Alsberg,1917,2004,"miscellaneous,writer,producer"
tt31543062,The Duke of Sing Sing,The Duke of Sing Sing,1957,30,"Comedy,Mystery",6.3,13,6,writer,story,1,2,Arthur Alsberg,1917,2004,"miscellaneous,writer,producer"
tt31346420,Bentley and the Baby Sitter,Bentley and the Baby Sitter,1957,30,"Comedy,Family",7.6,12,6,writer,written by,1,8,Arthur Alsberg,1917,2004,"miscellaneous,writer,producer"
tt32928346,The Liberty Story,The Liberty Story,1957,60,"Adventure,Drama,Family",7.4,88,10,writer,screenplay,3,25,Thomas W. Blackburn,1913,1992,"writer,soundtrack,composer"
tt71324375,The Saga of Andy Burnett Andys Initiation,The Saga of Andy Burnett Andys Initiation,1957,60,"Adventure,Drama,Family",8.5,25,7,writer,"novel ""The Long Rifle""",4,4,Stewart Edward White,1873,1946,writer
tt28560802,The Saga of Andy Burnett Andys First Chore,The Saga of Andy Burnett Andys First Chore,1957,60,"Adventure,Drama,Family",9.0,9,7,writer,novels,4,5,Stewart Edward White,1873,1946,writer
tt24643509,Two Cartridges,Two Cartridges,1957,30,Western,7.7,57,7,writer,from a story by,2,2,Stewart Edward White,1873,1946,writer
tt41692714,MerryGoRound Case,MerryGoRound Case,1957,30,"Action,Crime,Drama",6.9,36,6,writer,written by,1,12,Richard Carr,1929,1988,"writer,miscellaneous,producer"
tt31677047,The Mickey Farmer Case,The Mickey Farmer Case,1957,30,"Action,Crime,Drama",7.8,30,6,writer,written by,1,1,Richard Carr,1929,1988,"writer,miscellaneous,producer"
tt59890124,The Pete Rocco Case,The Pete Rocco Case,1957,30,"Action,Crime,Drama",8.0,27,6,writer,written by,1,10,Richard Carr,1929,1988,"writer,miscellaneous,producer"
tt40717930,The Torch Carriers,The Torch Carriers,1957,30,"Action,Crime,Drama",7.5,18,8,producer,producer,1,9,Richard Carr,1929,1988,"writer,miscellaneous,producer"
tt63246802,The Fishing Contest,The Fishing Contest,1957,30,"Comedy,Family",7.8,25,6,writer,written by,1,9,Paul Henning,1911,2005,"writer,producer,soundtrack"
tt90884641,A Badge for Casey,A Badge for Casey,1957,30,"Adventure,Western",7.4,18,8,cinematographer,director of photography,1,5,Ray Cory,1894,1968,"cinematographer,camera_department,visual_effects"
tt73690769,Night Mail,Night Mail,1957,30,"Adventure,Western",7.5,26,8,cinematographer,director of photography,1,1,Ray Cory,1894,1968,"cinematographer,camera_department,visual_effects"
tt74897840,The Trackwalker,The Trackwalker,1957,30,"Adventure,Western",8.0,16,8,cinematographer,director of photography,1,6,Ray Cory,1894,1968,"cinematographer,camera_department,visual_effects"
tt27876056,The Mothers,The Mothers,1957,30,Comedy,7.8,6,10,producer,producer,1,11,Frederick De Cordova,1910,2001,"producer,director,actor"
tt42106820,The Case of the MothEaten Mink,The Case of the MothEaten Mink,1957,52,"Crime,Drama,Mystery",8.6,490,8,writer,teleplay by,1,13,Ben Starr,1921,2014,"writer,producer,script_department"
tt26433988,The Big Switch,The Big Switch,1957,30,"Crime,Drama,Mystery",7.8,23,6,writer,writer,6,15,Frank Burt,1920,1958,"writer,miscellaneous"
tt21973299,The Trail to Christmas,The Trail to Christmas,1957,30,"Comedy,Drama",6.1,15,6,writer,teleplay,6,11,Frank Burt,1920,1958,"writer,miscellaneous"
tt64134261,Cheyenne Express,Cheyenne Express,1957,30,Western,6.8,22,6,writer,character,1,11,Frank Burt,1920,1958,"writer,miscellaneous"
tt86252503,Duel at Lockwood,Duel at Lockwood,1957,30,Western,7.1,27,7,writer,story,1,1,Frank Burt,1920,1958,"writer,miscellaneous"
tt35957006,General Gilfords Widow,General Gilfords Widow,1957,30,Western,7.5,17,6,writer,character,1,8,Frank Burt,1920,1958,"writer,miscellaneous"
tt60232289,Jenny,Jenny,1957,30,Western,7.7,21,6,writer,character,1,5,Frank Burt,1920,1958,"writer,miscellaneous"
tt40536551,Jody,Jody,1957,30,Western,7.3,20,6,writer,character,1,7,Frank Burt,1920,1958,"writer,miscellaneous"
tt79621035,Man and Boy,Man and Boy,1957,30,Western,7.4,23,6,writer,character,1,10,Frank Burt,1920,1958,"writer,miscellaneous"
tt82116329,Rink,Rink,1957,30,Western,7.2,17,6,writer,character,1,4,Frank Burt,1920,1958,"writer,miscellaneous"
tt34286295,Silver Threads,Silver Threads,1957,30,Western,8.4,16,6,writer,character,1,13,Frank Burt,1920,1958,"writer,miscellaneous"
tt86314995,The Child,The Child,1957,30,Western,7.4,33,6,writer,character,1,14,Frank Burt,1920,1958,"writer,miscellaneous"
tt73270929,The Gold Buckle,The Gold Buckle,1957,30,Western,6.1,19,6,writer,character,1,15,Frank Burt,1920,1958,"writer,miscellaneous"
tt12983073,The New Sheriff,The New Sheriff,1957,30,Western,6.8,14,6,writer,character,1,9,Frank Burt,1920,1958,"writer,miscellaneous"
tt89321030,The Shooting of Jett King,The Shooting of Jett King,1957,30,Western,7.9,18,6,writer,character,1,6,Frank Burt,1920,1958,"writer,miscellaneous"
tt57137017,Thicker Than Water,Thicker Than Water,1957,30,Western,7.6,24,6,writer,character,1,12,Frank Burt,1920,1958,"writer,miscellaneous"
tt70669815,Trail to Sunset,Trail to Sunset,1957,30,Western,7.8,22,6,writer,character,1,2,Frank Burt,1920,1958,"writer,miscellaneous"
tt50977745,Revenge at Harness Creek,Revenge at Harness Creek,1957,30,Western,7.1,17,6,writer,character,1,3,Frank Burt,1920,1958,"writer,miscellaneous"
tt13577898,Christmas Tree Lot,Christmas Tree Lot,1957,30,"Comedy,Drama,Family",7.6,40,6,writer,screenplay,6,11,Don Nelson,1927,2013,"writer,miscellaneous,producer"
tt96690335,Hairstyle for Harriet,Hairstyle for Harriet,1957,30,"Comedy,Drama,Family",7.5,29,7,writer,writer,5,15,Don Nelson,1927,2013,"writer,miscellaneous,producer"
tt52985610,Like Father Like Son,Like Father Like Son,1957,30,"Comedy,Drama,Family",7.3,14,5,writer,television play,5,18,Don Nelson,1927,2013,"writer,miscellaneous,producer"
tt49462849,The Duena,The Duena,1957,30,"Comedy,Drama,Family",8.0,29,7,writer,television play,5,19,Don Nelson,1927,2013,"writer,miscellaneous,producer"
tt90878376,The Borrowed Tuxedo,The Borrowed Tuxedo,1957,30,"Comedy,Drama,Family",8.3,13,5,writer,television play,5,17,Don Nelson,1927,2013,"writer,miscellaneous,producer"
tt97138071,The Hot Dog Stand,The Hot Dog Stand,1957,30,"Comedy,Drama,Family",8.6,15,5,writer,television play,5,20,Don Nelson,1927,2013,"writer,miscellaneous,producer"
tt24453316,Ozzies Double,Ozzies Double,1957,30,"Comedy,Drama,Family",7.1,25,7,writer,television play,5,14,Don Nelson,1927,2013,"writer,miscellaneous,producer"
tt57047927,The Puppy,The Puppy,1957,30,"Comedy,Drama,Family",7.7,16,6,writer,television play,5,16,Don Nelson,1927,2013,"writer,miscellaneous,producer"
tt25552662,David Has a Date with Miss Universe,David Has a Date with Miss Universe,1957,30,"Comedy,Drama,Family",8.0,11,5,writer,screenplay,5,34,Don Nelson,1927,2013,"writer,miscellaneous,producer"
tt23969947,The Fishing Lure,The Fishing Lure,1957,30,"Comedy,Drama,Family",8.8,12,6,writer,screenplay,5,37,Don Nelson,1927,2013,"writer,miscellaneous,producer"
tt47111435,Ozzie the Treasurer,Ozzie the Treasurer,1957,30,"Comedy,Drama,Family",6.9,12,6,writer,screenplay,5,31,Don Nelson,1927,2013,"writer,miscellaneous,producer"
tt46093982,Taking Care of Freddy,Taking Care of Freddy,1957,30,"Comedy,Drama,Family",7.2,14,6,writer,screenplay,5,38,Don Nelson,1927,2013,"writer,miscellaneous,producer"
tt85589702,Hawaiian Party,Hawaiian Party,1957,30,"Comedy,Drama,Family",7.3,14,6,writer,television play,5,27,Don Nelson,1927,2013,"writer,miscellaneous,producer"
tt66928998,Ricky the Drummer,Ricky the Drummer,1957,30,"Comedy,Drama,Family",7.7,34,7,writer,screenplay,5,28,Don Nelson,1927,2013,"writer,miscellaneous,producer"
tt82489124,The Clubhouse,The Clubhouse,1957,30,"Comedy,Drama,Family",7.2,16,5,writer,television play,5,23,Don Nelson,1927,2013,"writer,miscellaneous,producer"
tt78845700,The Editor,The Editor,1957,30,"Comedy,Drama,Family",7.4,15,5,writer,television play,5,26,Don Nelson,1927,2013,"writer,miscellaneous,producer"
tt84293399,The Reading Room,The Reading Room,1957,30,"Comedy,Drama,Family",7.4,24,7,writer,written by,5,21,Don Nelson,1927,2013,"writer,miscellaneous,producer"
tt97067547,Fixing Up the Fraternity House,Fixing Up the Fraternity House,1957,30,"Comedy,Drama,Family",8.5,15,6,writer,screenplay,6,1,Don Nelson,1927,2013,"writer,miscellaneous,producer"
tt22542492,The FourteenMile Hike,The FourteenMile Hike,1957,30,"Comedy,Drama,Family",8.2,10,5,writer,screenplay,6,9,Don Nelson,1927,2013,"writer,miscellaneous,producer"
tt96376086,Free Flowers,Free Flowers,1957,30,"Comedy,Drama,Family",7.0,15,6,writer,screenplay,6,7,Don Nelson,1927,2013,"writer,miscellaneous,producer"
tt24863101,Man Without a Family,Man Without a Family,1957,30,"Comedy,Drama,Family",6.9,15,6,writer,screenplay,6,2,Don Nelson,1927,2013,"writer,miscellaneous,producer"
tt71266240,The Mystery Shopper,The Mystery Shopper,1957,30,"Comedy,Drama,Family",8.2,14,7,writer,screenplay,6,5,Don Nelson,1927,2013,"writer,miscellaneous,producer"
tt62969083,Ozzies Triple Banana Surprise,Ozzies Triple Banana Surprise,1957,30,"Comedy,Drama,Family",7.7,20,7,writer,screenplay,6,8,Don Nelson,1927,2013,"writer,miscellaneous,producer"
tt99392638,Rickys Big Night,Rickys Big Night,1957,30,"Comedy,Drama,Family",7.2,19,8,writer,screenplay,6,6,Don Nelson,1927,2013,"writer,miscellaneous,producer"
tt17328388,The Treasurers Report,The Treasurers Report,1957,30,"Comedy,Drama,Family",7.8,12,5,writer,screenplay,6,3,Don Nelson,1927,2013,"writer,miscellaneous,producer"
tt30853010,TuttiFrutti Ice Cream,TuttiFrutti Ice Cream,1957,30,"Comedy,Drama,Family",7.8,41,5,writer,screenplay,6,10,Don Nelson,1927,2013,"writer,miscellaneous,producer"
tt65701153,Uncle Bentley Keeps His Promise,Uncle Bentley Keeps His Promise,1957,30,"Comedy,Family",7.0,8,7,writer,written by,1,7,Don Nelson,1927,2013,"writer,miscellaneous,producer"
