0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
tt73571015,The Drummer Boy,The Drummer Boy,1971,25,"Comedy,Family",6.7,168,6,writer,created by,2,16,Sherwood Schwartz,1916,2011,"writer,soundtrack,producer"
tt23058138,The Impractical Joker,The Impractical Joker,1971,25,"Comedy,Family",6.9,157,6,writer,created by,2,13,Sherwood Schwartz,1916,2011,"writer,soundtrack,producer"
tt28629401,The Liberation of Marcia Brady,The Liberation of Marcia Brady,1971,25,"Comedy,Family",7.6,184,6,writer,created by,2,19,Sherwood Schwartz,1916,2011,"writer,soundtrack,producer"
tt24117424,The NotSoRoseColored Glasses,The NotSoRoseColored Glasses,1971,26,"Comedy,Family",7.7,256,6,writer,created by,3,13,Sherwood Schwartz,1916,2011,"writer,soundtrack,producer"
tt38449176,The TeeterTotter Caper,The TeeterTotter Caper,1971,26,"Comedy,Family",6.9,164,6,writer,created by,3,14,Sherwood Schwartz,1916,2011,"writer,soundtrack,producer"
tt83015736,The WheelerDealer,The WheelerDealer,1971,26,"Comedy,Family",7.2,175,6,writer,created by,3,4,Sherwood Schwartz,1916,2011,"writer,soundtrack,producer"
tt98296414,The Winner,The Winner,1971,25,"Comedy,Family",6.6,171,5,writer,created by,2,21,Sherwood Schwartz,1916,2011,"writer,soundtrack,producer"
tt38187513,Where Theres Smoke,Where Theres Smoke,1971,25,"Comedy,Family",7.5,192,6,writer,created by,2,14,Sherwood Schwartz,1916,2011,"writer,soundtrack,producer"
tt65259382,Will the Real Jan Brady Please Stand Up,Will the Real Jan Brady Please Stand Up,1971,25,"Comedy,Family",7.7,213,6,writer,created by,2,15,Sherwood Schwartz,1916,2011,"writer,soundtrack,producer"
tt52907469,The Private Ear,The Private Ear,1971,26,"Comedy,Family",7.1,154,6,writer,created by,3,9,Sherwood Schwartz,1916,2011,"writer,soundtrack,producer"
tt52951763,The Blockbuster,The Blockbuster,1971,26,"Comedy,Drama",8.0,222,9,writer,teleplay by,2,8,Austin Kalish,1921,2016,"writer,producer,script_department"
tt91121965,Too Late Too Soon,Too Late Too Soon,1971,30,"Comedy,Family",7.8,30,8,writer,written by,5,17,Austin Kalish,1921,2016,"writer,producer,script_department"
tt61505953,Whatever Happened to Felicity,Whatever Happened to Felicity,1971,23,"Comedy,Fantasy",7.0,26,8,writer,written by,3,15,Austin Kalish,1921,2016,"writer,producer,script_department"
tt63976127,Polly the Pigeon,Polly the Pigeon,1971,30,"Comedy,Family",6.2,33,6,writer,written by,12,6,Austin Kalish,1921,2016,"writer,producer,script_department"
tt43600977,Alices September Song,Alices September Song,1971,25,"Comedy,Family",6.8,148,7,writer,written by,2,23,Elroy Schwartz,1923,2013,"writer,script_department,producer"
tt30920153,My Sister Benedict Arnold,My Sister Benedict Arnold,1971,26,"Comedy,Family",7.4,167,7,writer,written by,3,5,Elroy Schwartz,1923,2013,"writer,script_department,producer"
tt58218485,The Winner,The Winner,1971,25,"Comedy,Family",6.6,171,6,writer,written by,2,21,Elroy Schwartz,1923,2013,"writer,script_department,producer"
tt44358173,The Town Killer,The Town Killer,1971,75,Western,7.6,51,6,writer,writer,9,22,Elroy Schwartz,1923,2013,"writer,script_department,producer"
tt42851990,Bewigged Bothered  Bewildered,Bewigged Bothered  Bewildered,1971,25,Comedy,6.5,15,6,writer,by,1,28,David Yallop,1937,2018,"writer,miscellaneous"
tt43225815,Jim Nabors,Jim Nabors,1971,60,"Comedy,Family",6.9,30,9,writer,writer,5,1,Heywood Kling,1925,1988,"writer,soundtrack,producer"
tt42728506,Episode 511,Episode 511,1971,60,"Comedy,Family",7.7,32,9,writer,writer,5,11,Heywood Kling,1925,1988,"writer,soundtrack,producer"
tt94212929,Carol ChanningSteve Lawrence,Carol ChanningSteve Lawrence,1971,60,"Comedy,Family",7.7,43,9,writer,writer,5,3,Heywood Kling,1925,1988,"writer,soundtrack,producer"
tt82004057,Ken BerryCass Elliot,Ken BerryCass Elliot,1971,60,"Comedy,Family",7.0,39,9,writer,writer,5,4,Heywood Kling,1925,1988,"writer,soundtrack,producer"
tt47646791,Bernadette PetersCass Elliot,Bernadette PetersCass Elliot,1971,60,"Comedy,Family",7.9,37,9,writer,writer,5,8,Heywood Kling,1925,1988,"writer,soundtrack,producer"
tt69980262,Episode 59,Episode 59,1971,60,"Comedy,Family",7.5,33,9,writer,writer,5,9,Heywood Kling,1925,1988,"writer,soundtrack,producer"
tt85813061,Peggy Lee and Dom DeLuise,Peggy Lee and Dom DeLuise,1971,60,"Comedy,Family",6.7,30,9,writer,writer,5,5,Heywood Kling,1925,1988,"writer,soundtrack,producer"
tt25674828,Bing CrosbyPaul Lynde,Bing CrosbyPaul Lynde,1971,22,"Comedy,Family",7.7,39,9,writer,writer,5,7,Heywood Kling,1925,1988,"writer,soundtrack,producer"
