0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
tt72632701,The ThirtyNinth Star,The ThirtyNinth Star,1958,60,"Comedy,Western",7.6,71,8,cinematographer,director of photography,2,9,Harold E. Stine,1903,1977,"cinematographer,sound_department,visual_effects"
tt13580748,Trail West to Fury,Trail West to Fury,1958,49,"Comedy,Western",7.7,110,9,cinematographer,director of photography,1,21,Harold E. Stine,1903,1977,"cinematographer,sound_department,visual_effects"
tt30353012,The Canary Kid,The Canary Kid,1958,60,Western,7.0,11,7,cinematographer,director of photography,2,5,Harold E. Stine,1903,1977,"cinematographer,sound_department,visual_effects"
tt71109901,The Wizard,The Wizard,1958,60,Western,6.4,12,8,cinematographer,director of photography,2,3,Harold E. Stine,1903,1977,"cinematographer,sound_department,visual_effects"
tt66031771,The Carstadt Man,The Carstadt Man,1958,30,"Comedy,Mystery",6.3,9,9,cinematographer,director of photography,1,33,Lester Shorr,1907,1992,"cinematographer,camera_department"
tt55139994,The Martin Poster,The Martin Poster,1958,25,Western,7.5,206,7,cinematographer,director of photography,1,1,Lester Shorr,1907,1992,"cinematographer,camera_department"
tt16499414,Black Hills Incident,Black Hills Incident,1958,26,Western,7.6,8,9,cinematographer,director of photography,1,1,Lester Shorr,1907,1992,"cinematographer,camera_department"
tt67916297,Girl Lost,Girl Lost,1958,30,"Crime,Drama,Thriller",7.4,15,6,writer,writer,1,26,David P. Harmon,1918,2001,"writer,script_department,miscellaneous"
tt59950230,Curfew at Midnight,Curfew at Midnight,1958,30,"Comedy,Drama",7.1,8,7,writer,teleplay,7,38,David P. Harmon,1918,2001,"writer,script_department,miscellaneous"
tt93987465,Six Faces of Satan,Six Faces of Satan,1958,30,"Crime,Drama",7.1,38,6,writer,written by,1,10,David P. Harmon,1918,2001,"writer,script_department,miscellaneous"
tt41105546,Dead to Rights,Dead to Rights,1958,60,Western,8.2,76,6,writer,teleplay,3,18,Albert Aley,1919,1986,"miscellaneous,writer,producer"
tt48382994,The Gamble,The Gamble,1958,60,Western,8.7,74,6,writer,teleplay,3,10,Albert Aley,1919,1986,"miscellaneous,writer,producer"
tt30407423,Gun Shy,Gun Shy,1958,26,Western,8.0,115,8,writer,teleplay,1,29,Albert Aley,1919,1986,"miscellaneous,writer,producer"
tt21083501,Hey Boys Revenge,Hey Boys Revenge,1958,26,Western,8.6,102,6,writer,written by,1,31,Albert Aley,1919,1986,"miscellaneous,writer,producer"
tt56641514,Killers Widow,Killers Widow,1958,26,Western,8.6,114,6,writer,written by,1,28,Albert Aley,1919,1986,"miscellaneous,writer,producer"
tt28551747,The Silver Queen,The Silver Queen,1958,26,Western,8.0,110,6,writer,written by,1,33,Albert Aley,1919,1986,"miscellaneous,writer,producer"
tt14062020,The Statue of San Sebastian,The Statue of San Sebastian,1958,26,Western,7.5,95,6,writer,written by,1,39,Albert Aley,1919,1986,"miscellaneous,writer,producer"
tt82669644,Young Gun,Young Gun,1958,26,Western,7.8,94,6,writer,written by,2,9,Albert Aley,1919,1986,"miscellaneous,writer,producer"
