0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
tt73319974,The Last of the Big Spenders,The Last of the Big Spenders,1975,24,Comedy,7.9,68,6,writer,written by,2,6,Eric Chappell,1933,2022,"writer,soundtrack"
tt97335251,The Perfect Gentleman,The Perfect Gentleman,1975,25,Comedy,8.3,74,6,writer,written by,2,5,Eric Chappell,1933,2022,"writer,soundtrack"
tt81616017,The Prowler,The Prowler,1975,23,Comedy,7.9,81,6,writer,by,1,5,Eric Chappell,1933,2022,"writer,soundtrack"
tt90681482,Things That Go Bump in the Night,Things That Go Bump in the Night,1975,25,Comedy,8.6,92,6,writer,written by,2,7,Eric Chappell,1933,2022,"writer,soundtrack"
tt27636926,A Body Like Mine,A Body Like Mine,1975,25,Comedy,8.3,73,6,writer,by,2,3,Eric Chappell,1933,2022,"writer,soundtrack"
tt66875221,Food Glorious Food,Food Glorious Food,1975,25,Comedy,8.4,77,6,writer,by,2,2,Eric Chappell,1933,2022,"writer,soundtrack"
tt95475652,Where the Action Is,Where the Action Is,1975,65,"Crime,Drama,Fantasy",6.8,144,7,producer,line producer,4,6,John Cooper,1927,2017,"producer,director,assistant_director"
tt75289625,Nurse Will Make It Better,Nurse Will Make It Better,1975,73,"Crime,Drama,Fantasy",6.9,167,7,producer,producer,4,2,John Cooper,1927,2017,"producer,director,assistant_director"
tt65280961,Sniper,Sniper,1975,60,"Action,Crime,Drama",7.3,30,8,writer,based on characters created by,2,17,Sy Salkowitz,1926,1991,"writer,director,production_manager"
tt13456733,The Witness,The Witness,1975,60,"Action,Crime,Drama",7.5,21,8,writer,based on characters created by,2,21,Sy Salkowitz,1926,1991,"writer,director,production_manager"
tt90623464,The HalfMillion Dollar Baby,The HalfMillion Dollar Baby,1975,51,"Crime,Drama,Mystery",7.9,60,8,writer,story,1,5,Roy Huggins,1914,2002,"writer,producer,production_manager"
tt32872717,If You Cant Pay the Price,If You Cant Pay the Price,1975,51,"Crime,Drama,Mystery",8.0,65,8,writer,teleplay,1,4,Roy Huggins,1914,2002,"writer,producer,production_manager"
tt55163702,Ragtime Billy Peaches,Ragtime Billy Peaches,1975,51,"Crime,Drama,Mystery",7.7,59,8,writer,story,1,6,Roy Huggins,1914,2002,"writer,producer,production_manager"
tt17851516,Sharper Than a Serpents Tooth,Sharper Than a Serpents Tooth,1975,60,"Crime,Drama,Mystery",8.5,45,8,writer,story,2,13,Roy Huggins,1914,2002,"writer,producer,production_manager"
tt67170651,The Coppelli Oath,The Coppelli Oath,1975,51,"Crime,Drama,Mystery",7.7,57,8,writer,story,1,7,Roy Huggins,1914,2002,"writer,producer,production_manager"
tt51500221,The Secret of Terry Lake,The Secret of Terry Lake,1975,50,"Crime,Drama,Mystery",7.7,59,8,writer,story,1,11,Roy Huggins,1914,2002,"writer,producer,production_manager"
tt84490619,Woman in the Harbor,Woman in the Harbor,1975,51,"Crime,Drama,Mystery",8.0,61,9,writer,story,1,3,Roy Huggins,1914,2002,"writer,producer,production_manager"
tt59424379,Aura Lee Farewell,Aura Lee Farewell,1975,50,"Crime,Drama,Mystery",8.1,324,6,writer,created by,1,14,Roy Huggins,1914,2002,"writer,producer,production_manager"
tt63962686,Charlie Harris at Large,Charlie Harris at Large,1975,50,"Crime,Drama,Mystery",7.6,281,6,writer,created by,1,19,Roy Huggins,1914,2002,"writer,producer,production_manager"
tt11408847,Chicken Little Is a Little Chicken,Chicken Little Is a Little Chicken,1975,50,"Crime,Drama,Mystery",8.5,296,6,writer,created by,2,9,Roy Huggins,1914,2002,"writer,producer,production_manager"
tt92675665,Claire,Claire,1975,49,"Crime,Drama,Mystery",7.5,278,6,writer,created by,1,17,Roy Huggins,1914,2002,"writer,producer,production_manager"
tt34328837,Counter Gambit,Counter Gambit,1975,50,"Crime,Drama,Mystery",8.3,295,6,writer,created by,1,16,Roy Huggins,1914,2002,"writer,producer,production_manager"
tt25907558,Gearjammers Part 1,Gearjammers Part 1,1975,50,"Crime,Drama,Mystery",8.2,267,6,writer,created by,2,3,Roy Huggins,1914,2002,"writer,producer,production_manager"
