0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
tt60039760,Kate Flat on Her Back,Kate Flat on Her Back,1964,26,Comedy,7.4,34,7,writer,written by,1,37,Joel Kane,1921,1993,"writer,producer,miscellaneous"
tt22561232,Kate and the Manpower Problem,Kate and the Manpower Problem,1964,26,Comedy,7.2,38,8,writer,written by,1,26,Joel Kane,1921,1993,"writer,producer,miscellaneous"
tt88671628,Who Killed 711 ,Who Killed 711 ,1964,60,"Action,Adventure,Crime",7.5,32,7,writer,written by,2,12,Paul Dubov,1918,1979,"actor,writer,miscellaneous"
tt28690453,Who Killed Davidian Jonas,Who Killed Davidian Jonas,1964,60,"Action,Adventure,Crime",8.0,25,7,writer,written by,2,15,Paul Dubov,1918,1979,"actor,writer,miscellaneous"
tt83804264,Who Killed Don Pablo,Who Killed Don Pablo,1964,60,"Action,Adventure,Crime",6.6,35,7,writer,written by,1,31,Paul Dubov,1918,1979,"actor,writer,miscellaneous"
tt73376105,Who Killed His Royal Highness,Who Killed His Royal Highness,1964,60,"Action,Adventure,Crime",8.3,45,7,writer,written by,1,21,Paul Dubov,1918,1979,"actor,writer,miscellaneous"
tt52671090,Who Killed Mr Cartwheel,Who Killed Mr Cartwheel,1964,60,"Action,Adventure,Crime",7.3,23,7,writer,written by,2,6,Paul Dubov,1918,1979,"actor,writer,miscellaneous"
tt84072842,Who Killed Snooky Martinelli,Who Killed Snooky Martinelli,1964,60,"Action,Adventure,Crime",7.6,45,7,writer,written by,1,16,Paul Dubov,1918,1979,"actor,writer,miscellaneous"
tt15132745,Who Killed Vaudeville,Who Killed Vaudeville,1964,60,"Action,Adventure,Crime",7.9,27,7,writer,writer,2,2,Paul Dubov,1918,1979,"actor,writer,miscellaneous"
tt83630018,Who Killed WHO IV,Who Killed WHO IV,1964,60,"Action,Adventure,Crime",7.5,41,7,writer,written by,1,27,Paul Dubov,1918,1979,"actor,writer,miscellaneous"
tt64915321,Morticia the Matchmaker,Morticia the Matchmaker,1964,25,"Comedy,Family,Horror",7.3,297,8,writer,story,1,12,Maurice Geraghty,1908,1987,"writer,director,producer"
tt95799424,Homecoming,Homecoming,1964,60,Western,7.7,166,6,writer,written by,9,34,Shimon Wincelberg,1924,2004,"writer,actor"
tt67845725,The Day of the Wizard,The Day of the Wizard,1964,60,Western,8.3,8,7,writer,writer,1,17,Shimon Wincelberg,1924,2004,"writer,actor"
tt56527887,See the Elephant and Hear the Owl,See the Elephant and Hear the Owl,1964,30,Western,7.9,15,5,writer,written by,12,25,Robert Hardy Andrews,1903,1976,"writer,miscellaneous,producer"
tt23508247,The Left Hand Is Damned,The Left Hand Is Damned,1964,25,Western,7.3,28,6,writer,written by,13,7,Hendrik Vollaerts,1918,1988,"writer,miscellaneous"
tt85963625,The Great Brain Robbery,The Great Brain Robbery,1964,30,"Comedy,Family,Sci-Fi",7.6,34,6,writer,written by,2,8,Hendrik Vollaerts,1918,1988,"writer,miscellaneous"
tt43008886,High Finance Hits a New Low,High Finance Hits a New Low,1964,30,Comedy,7.9,36,8,writer,story,4,8,Hendrik Vollaerts,1918,1988,"writer,miscellaneous"
tt86029251,Long Live the King,Long Live the King,1964,52,"Adventure,Sci-Fi",7.0,98,7,writer,written by,1,15,Raphael Hayes,1915,2010,writer
tt20191179,Ellie Goes to Court,Ellie Goes to Court,1964,30,Comedy,7.2,13,6,writer,written by,4,11,Dale McRaven,1939,2022,"writer,miscellaneous,producer"
tt85494972,Jillsons Toupee,Jillsons Toupee,1964,30,Comedy,6.9,12,7,writer,written by,4,12,Dale McRaven,1939,2022,"writer,miscellaneous,producer"
tt14420083,Joey Goes to a Poker Party,Joey Goes to a Poker Party,1964,30,Comedy,7.5,13,6,writer,written by,4,8,Dale McRaven,1939,2022,"writer,miscellaneous,producer"
tt60113478,The Perfect Girl,The Perfect Girl,1964,30,Comedy,7.9,12,7,writer,written by,4,9,Dale McRaven,1939,2022,"writer,miscellaneous,producer"
tt90350205,Joey Gets Brainwashed,Joey Gets Brainwashed,1964,30,Comedy,6.9,10,7,writer,teleplay,3,14,Milt Rosen,1922,2000,"writer,miscellaneous,producer"
tt12696048,The InLaw Whammy,The InLaw Whammy,1964,30,"Comedy,Family",6.8,42,6,writer,written by,5,14,Milt Rosen,1922,2000,"writer,miscellaneous,producer"
tt35006876,House for Sale,House for Sale,1964,30,"Comedy,Family",7.4,46,6,writer,written by,4,22,Milt Rosen,1922,2000,"writer,miscellaneous,producer"
tt75639038,Cave Scout Jamboree,Cave Scout Jamboree,1964,30,"Adventure,Animation,Comedy",7.4,153,9,editor,supervising film editor,4,20,Warner E. Leighton,1930,2005,"editor,editorial_department,music_department"
tt53264755,Block That Statue,Block That Statue,1964,30,"Comedy,Family,Music",8.2,22,9,producer,producer,2,11,Stanley Prager,1917,1972,"director,producer,actor"
tt41196764,Can Do Patty,Can Do Patty,1964,30,"Comedy,Family,Music",7.2,21,9,producer,producer,2,14,Stanley Prager,1917,1972,"director,producer,actor"
tt16668986,Hi Society,Hi Society,1964,30,"Comedy,Family,Music",7.4,26,9,producer,producer,2,15,Stanley Prager,1917,1972,"director,producer,actor"
tt74411392,Patty the Witness,Patty the Witness,1964,30,"Comedy,Family,Music",7.8,26,8,producer,producer,2,16,Stanley Prager,1917,1972,"director,producer,actor"
tt58241694,The Boy Next Door,The Boy Next Door,1964,30,"Comedy,Family,Music",7.8,25,8,producer,producer,2,6,Stanley Prager,1917,1972,"director,producer,actor"
tt58015472,The Greatest Psychologist in the World,The Greatest Psychologist in the World,1964,30,"Comedy,Family,Music",7.8,17,8,producer,producer,2,8,Stanley Prager,1917,1972,"director,producer,actor"
tt99365216,This Little Patty Went to Market,This Little Patty Went to Market,1964,30,"Comedy,Family,Music",8.2,18,10,producer,producer,2,12,Stanley Prager,1917,1972,"director,producer,actor"
tt31276447,Simon Says,Simon Says,1964,30,"Comedy,Family,Music",7.7,27,8,producer,producer,2,3,Stanley Prager,1917,1972,"director,producer,actor"
tt16099469,Time for Elizabeth,Time for Elizabeth,1964,60,"Adventure,Comedy,Crime",5.9,11,6,writer,teleplay,1,23,Alex Gottlieb,1906,1988,"producer,writer,soundtrack"
tt13051199,The OutsideIn Man,The OutsideIn Man,1964,52,"Action,Comedy,Crime",7.5,92,6,writer,written by,3,22,Philip Chambers,1936,1987,writer
tt59245825,The Lila Conrad Story,The Lila Conrad Story,1964,60,Western,7.0,102,6,writer,teleplay,5,14,Preston Wood,1923,2011,"writer,miscellaneous,director"
tt66161376,One Hundred Bibles,One Hundred Bibles,1964,60,Western,6.0,5,6,writer,written by,1,13,Preston Wood,1923,2011,"writer,miscellaneous,director"
tt58796071,Behold Eck,Behold Eck,1964,51,"Drama,Fantasy,Horror",6.8,423,7,writer,story by,2,3,William R. Cox,1901,1988,"writer,music_department"
tt28660193,Man Is a Rock,Man Is a Rock,1964,60,Drama,7.0,9,6,writer,written by,4,1,Stanley Adams,1915,1977,"actor,writer"
tt84429835,Ed the Desert Rat,Ed the Desert Rat,1964,30,"Comedy,Family,Fantasy",7.5,31,6,writer,story,4,17,Stanley Adams,1915,1977,"actor,writer"
tt97505683,Ed the Shish Kebab,Ed the Shish Kebab,1964,30,"Comedy,Family,Fantasy",7.5,26,6,writer,written by,4,15,Stanley Adams,1915,1977,"actor,writer"
tt41728667,A Silent Cry,A Silent Cry,1964,60,"Action,Drama,War",8.5,82,6,writer,written by,2,23,Edward J. Lakso,1932,2009,"writer,producer,soundtrack"
tt74546607,Mountain Man,Mountain Man,1964,60,"Action,Drama,War",7.9,85,6,writer,written by,3,1,Edward J. Lakso,1932,2009,"writer,producer,soundtrack"
tt50515126,Rescue,Rescue,1964,60,"Action,Drama,War",8.6,85,6,writer,written by,2,29,Edward J. Lakso,1932,2009,"writer,producer,soundtrack"
tt44949625,The Duel,The Duel,1964,60,"Action,Drama,War",8.9,108,6,writer,written by,3,4,Edward J. Lakso,1932,2009,"writer,producer,soundtrack"
tt42524717,The Hard Way Back,The Hard Way Back,1964,60,"Action,Drama,War",8.5,72,6,writer,written by,3,6,Edward J. Lakso,1932,2009,"writer,producer,soundtrack"
tt43984814,The Hunter,The Hunter,1964,60,"Action,Drama,War",8.2,83,6,writer,written by,2,24,Edward J. Lakso,1932,2009,"writer,producer,soundtrack"
tt85430481,Weep No More,Weep No More,1964,60,"Action,Drama,War",7.4,83,6,writer,written by,2,27,Edward J. Lakso,1932,2009,"writer,producer,soundtrack"
tt32594225,What Are the Bugles Blowin For Part 1,What Are the Bugles Blowin For Part 1,1964,60,"Action,Drama,War",8.7,95,6,writer,written by,2,25,Edward J. Lakso,1932,2009,"writer,producer,soundtrack"
tt32054927,What Are the Bugles Blowin For Part 2,What Are the Bugles Blowin For Part 2,1964,60,"Action,Drama,War",8.8,88,6,writer,written by,2,26,Edward J. Lakso,1932,2009,"writer,producer,soundtrack"
tt26652399,Speak Not in Angry Whispers,Speak Not in Angry Whispers,1964,60,Drama,8.8,8,6,writer,writer,3,33,Edward J. Lakso,1932,2009,"writer,producer,soundtrack"
tt74635769,The Hand That Hurts the Hand That Heals,The Hand That Hurts the Hand That Heals,1964,60,Drama,6.8,14,6,writer,writer,4,3,Edward J. Lakso,1932,2009,"writer,producer,soundtrack"
tt69161158,The Sound of a Faraway Hill,The Sound of a Faraway Hill,1964,60,Drama,9.0,10,6,writer,teleplay,4,6,Edward J. Lakso,1932,2009,"writer,producer,soundtrack"
tt49745672,The Sound of Distant Thunder,The Sound of Distant Thunder,1964,60,"Drama,War",8.3,57,6,writer,writer,1,4,Edward J. Lakso,1932,2009,"writer,producer,soundtrack"
tt12741785,Art and the Addams Family,Art and the Addams Family,1964,25,"Comedy,Family,Horror",7.0,257,10,producer,producer,1,14,Nat Perrin,1905,1998,"producer,writer,director"
tt57885768,Festers Punctured Romance,Festers Punctured Romance,1964,25,"Comedy,Family,Horror",7.4,393,9,producer,producer,1,3,Nat Perrin,1905,1998,"producer,writer,director"
tt42981750,Gomez the Politician,Gomez the Politician,1964,25,"Comedy,Family,Horror",7.4,361,10,producer,producer,1,4,Nat Perrin,1905,1998,"producer,writer,director"
tt27975062,GreenEyed Gomez,GreenEyed Gomez,1964,25,"Comedy,Family,Horror",7.5,323,10,producer,producer,1,8,Nat Perrin,1905,1998,"producer,writer,director"
tt58784716,Halloween with the Addams Family,Halloween with the Addams Family,1964,25,"Comedy,Family,Horror",7.8,381,10,producer,producer,1,7,Nat Perrin,1905,1998,"producer,writer,director"
tt54641429,Morticia Joins the Ladies League,Morticia Joins the Ladies League,1964,25,"Comedy,Family,Horror",7.3,331,10,producer,producer,1,6,Nat Perrin,1905,1998,"producer,writer,director"
tt57948044,Morticia and the Psychiatrist,Morticia and the Psychiatrist,1964,25,"Comedy,Family,Horror",7.5,443,10,producer,producer,1,2,Nat Perrin,1905,1998,"producer,writer,director"
tt90742549,The Addams Family Goes to School,The Addams Family Goes to School,1964,25,"Comedy,Family,Horror",7.7,609,10,producer,producer,1,1,Nat Perrin,1905,1998,"producer,writer,director"
tt90489809,The Addams Family Meet the VIPs,The Addams Family Meet the VIPs,1964,25,"Comedy,Family,Horror",7.7,308,10,producer,producer,1,11,Nat Perrin,1905,1998,"producer,writer,director"
tt49996544,The New Neighbors Meet the Addams Family,The New Neighbors Meet the Addams Family,1964,25,"Comedy,Family,Horror",7.4,336,10,producer,producer,1,9,Nat Perrin,1905,1998,"producer,writer,director"
tt40131969,Wednesday Leaves Home,Wednesday Leaves Home,1964,25,"Comedy,Family,Horror",7.6,298,10,producer,producer,1,10,Nat Perrin,1905,1998,"producer,writer,director"
