0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
tt87907242,Appointment on Route 17,Appointment on Route 17,1988,25,"Drama,Fantasy,Horror",5.8,226,6,writer,created by,3,15,Rod Serling,1924,1975,"writer,actor,producer"
tt73453251,The Hellgramite Method,The Hellgramite Method,1988,22,"Drama,Fantasy,Horror",7.1,296,6,writer,creator,3,7,Rod Serling,1924,1975,"writer,actor,producer"
tt49174613,The Trunk,The Trunk,1988,25,"Drama,Fantasy,Horror",6.5,236,6,writer,created by,3,14,Rod Serling,1924,1975,"writer,actor,producer"
tt79821546,Remembrance of the Daleks Part One,Remembrance of the Daleks Part One,1988,25,"Adventure,Drama,Family",8.3,684,7,writer,creator,25,1,Sydney Newman,1917,1997,"writer,producer,director"
tt10267206,Silver Nemesis Part One,Silver Nemesis Part One,1988,30,"Adventure,Drama,Family",6.5,465,7,writer,creator,25,8,Sydney Newman,1917,1997,"writer,producer,director"
tt35770825,The Greatest Show in the Galaxy Part One,The Greatest Show in the Galaxy Part One,1988,25,"Adventure,Drama,Family",7.2,456,7,writer,creator,25,11,Sydney Newman,1917,1997,"writer,producer,director"
tt17495715,The Happiness Patrol Part One,The Happiness Patrol Part One,1988,25,"Adventure,Drama,Family",6.8,464,7,writer,creator,25,5,Sydney Newman,1917,1997,"writer,producer,director"
tt37576711,The Happiness Patrol Part Two,The Happiness Patrol Part Two,1988,25,"Adventure,Drama,Family",6.8,411,7,writer,creator,25,6,Sydney Newman,1917,1997,"writer,producer,director"
tt92364098,The Happiness Patrol Part Three,The Happiness Patrol Part Three,1988,25,"Adventure,Drama,Family",6.9,413,7,writer,creator,25,7,Sydney Newman,1917,1997,"writer,producer,director"
tt66201242,Remembrance of the Daleks Part Two,Remembrance of the Daleks Part Two,1988,25,"Adventure,Drama,Family",8.4,582,7,writer,creator,25,2,Sydney Newman,1917,1997,"writer,producer,director"
tt70635073,Remembrance of the Daleks Part Three,Remembrance of the Daleks Part Three,1988,25,"Adventure,Drama,Family",8.4,578,7,writer,creator,25,3,Sydney Newman,1917,1997,"writer,producer,director"
tt53343584,Remembrance of the Daleks Part Four,Remembrance of the Daleks Part Four,1988,25,"Adventure,Drama,Family",8.5,585,7,writer,creator,25,4,Sydney Newman,1917,1997,"writer,producer,director"
tt43402839,Silver Nemesis Part Two,Silver Nemesis Part Two,1988,26,"Adventure,Drama,Family",6.4,421,7,writer,creator,25,9,Sydney Newman,1917,1997,"writer,producer,director"
tt80957302,Silver Nemesis Part Three,Silver Nemesis Part Three,1988,30,"Adventure,Drama,Family",6.3,423,7,writer,creator,25,10,Sydney Newman,1917,1997,"writer,producer,director"
tt40327479,The Greatest Show in the Galaxy Part Two,The Greatest Show in the Galaxy Part Two,1988,25,"Adventure,Drama,Family",7.2,415,7,writer,creator,25,12,Sydney Newman,1917,1997,"writer,producer,director"
tt20754601,The Greatest Show in the Galaxy Part Three,The Greatest Show in the Galaxy Part Three,1988,25,"Adventure,Drama,Family",7.1,410,7,writer,creator,25,13,Sydney Newman,1917,1997,"writer,producer,director"
tt24926176,The Master Builder,The Master Builder,1988,138,"Comedy,Drama,Romance",8.1,23,6,writer,play,3,2,Henrik Ibsen,1828,1906,writer
tt41255370,The Master Builder,The Master Builder,1988,138,"Comedy,Drama,Romance",8.1,23,7,writer,translation,3,2,Michael Meyer,1921,2000,"writer,miscellaneous"
