0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
tt26553873,The Taker,The Taker,1968,75,"Adventure,Sci-Fi",7.9,20,9,cinematographer,director of photography,1,3,Benjamin H. Kline,1894,1974,"cinematographer,director,camera_department"
tt17447265,A Majority of Two,A Majority of Two,1968,30,"Comedy,Family,Fantasy",6.3,329,8,producer,producer,4,29,William Asher,1921,2012,"director,producer,writer"
tt23175825,How Green Was My Grass,How Green Was My Grass,1968,30,"Comedy,Family,Fantasy",7.6,257,8,producer,producer,4,24,William Asher,1921,2012,"director,producer,writer"
tt63092837,I Confess,I Confess,1968,30,"Comedy,Family,Fantasy",8.9,290,8,producer,producer,4,28,William Asher,1921,2012,"director,producer,writer"
tt47844932,I Dont Want to Be a Toad I Want to Be a Butterfly,I Dont Want to Be a Toad I Want to Be a Butterfly,1968,30,"Comedy,Family,Fantasy",8.6,252,8,producer,producer,5,11,William Asher,1921,2012,"director,producer,writer"
tt31479644,If They Never Met,If They Never Met,1968,30,"Comedy,Family,Fantasy",9.0,320,9,producer,producer,4,20,William Asher,1921,2012,"director,producer,writer"
tt20651796,Instant Courtesy,Instant Courtesy,1968,30,"Comedy,Family,Fantasy",7.8,304,9,producer,producer,5,13,William Asher,1921,2012,"director,producer,writer"
tt78269665,Is It Magic or Imagination,Is It Magic or Imagination,1968,30,"Comedy,Family,Fantasy",7.6,284,8,producer,producer,5,8,William Asher,1921,2012,"director,producer,writer"
tt43506499,Man of the Year,Man of the Year,1968,30,"Comedy,Family,Fantasy",7.5,273,8,producer,producer,4,32,William Asher,1921,2012,"director,producer,writer"
tt29518426,Mc Tavish,Mc Tavish,1968,30,"Comedy,Family,Fantasy",7.4,288,8,producer,producer,4,23,William Asher,1921,2012,"director,producer,writer"
tt62924927,Mirror Mirror on the Wall,Mirror Mirror on the Wall,1968,30,"Comedy,Family,Fantasy",8.6,283,9,producer,producer,5,6,William Asher,1921,2012,"director,producer,writer"
tt29790825,Once in a Vial,Once in a Vial,1968,30,"Comedy,Family,Fantasy",8.8,281,9,producer,producer,4,18,William Asher,1921,2012,"director,producer,writer"
tt65821124,Prince of a Guy,Prince of a Guy,1968,30,"Comedy,Family,Fantasy",7.8,264,8,producer,producer,4,22,William Asher,1921,2012,"director,producer,writer"
tt28268203,Samantha Fights City Hall,Samantha Fights City Hall,1968,30,"Comedy,Family,Fantasy",8.7,267,8,producer,producer,5,9,William Asher,1921,2012,"director,producer,writer"
tt34895954,Samantha on the Keyboard,Samantha on the Keyboard,1968,30,"Comedy,Family,Fantasy",7.3,278,8,producer,producer,5,3,William Asher,1921,2012,"director,producer,writer"
tt41455757,Samanthas Secret Saucer,Samanthas Secret Saucer,1968,30,"Comedy,Family,Fantasy",8.4,278,9,producer,producer,4,30,William Asher,1921,2012,"director,producer,writer"
tt80015410,Snob in the Grass,Snob in the Grass,1968,25,"Comedy,Family,Fantasy",8.0,258,8,producer,producer,4,19,William Asher,1921,2012,"director,producer,writer"
tt10707766,The NoHarm Charm,The NoHarm Charm,1968,30,"Comedy,Family,Fantasy",7.5,263,8,producer,producer,4,31,William Asher,1921,2012,"director,producer,writer"
tt26749016,The Year of the Sex Olympics,The Year of the Sex Olympics,1968,105,Drama,7.0,178,6,writer,writer,5,25,Nigel Kneale,1922,2006,"writer,actor,special_effects"
tt36308051,Am I Pardon the Expression Blacklisted,Am I Pardon the Expression Blacklisted,1968,30,Comedy,7.3,13,9,cinematographer,director of photography,1,7,Lloyd Ahern Sr.,1905,1983,"cinematographer,camera_department"
tt93169121,Paint Your Waggedorn,Paint Your Waggedorn,1968,30,Comedy,7.5,13,10,cinematographer,director of photography,1,10,Lloyd Ahern Sr.,1905,1983,"cinematographer,camera_department"
